height, tip, file                                   , channel, measure_on, swath_px, swath_aligned, baseline_mode, x0 , y0 , x1 , y1 , peak_avg_n, peak_avg_count, peak_nm, base_nm, height_nm, pm_nm, fwhm_nm, fwhm_pm_nm, fwhm_band_sigma, fwhm_band_tol_nm, fwhm_min_nm, fwhm_max_nm, center_nm, hdiff_RmL_nm, hdiff_pm_nm
short , C  , New_data_only/JJ_data_0603/JJ_AFM_4.nid, Forward, leveled   ,       21,             1, auto         , 482, 430, 400, 342,          2,              5,  21.311, -2.199 ,    23.51 , 3.064, 436.681,     80.689,               1,            3.064,     412.181,     573.559,   1095.7 , 0.034       ,       4.337
tall  , C  , New_data_only/JJ_data_0603/JJ_AFM_4.nid, Forward, leveled   ,       21,             1, auto         , 509, 479, 384, 601,          2,              5,  91.634, -2.532 ,    94.166, 2.503, 392.998,     10.226,               1,            2.503,     383.206,     403.659,   1760.3 , 1.564       ,       3.58
short , NC , New_data_only/JJ_data_0603/JJ_AFM_2.nid, Forward, leveled   ,       21,             1, auto         , 570, 402, 493, 319,          2,              5,  17.15 , -4.61  ,    21.761, 2.927, 765.071,    203.812,               1,            2.927,     436.781,     844.405,    998.1 , -0.068      ,       4.216
tall  , NC , New_data_only/JJ_data_0603/JJ_AFM_2.nid, Forward, leveled   ,       21,             1, auto         , 586, 473, 422, 623,          2,              5,  90.139, -5.06  ,    95.2  , 2.833, 929.438,     20.759,               1,            2.833,     908.326,     949.845,   2069.69, 1.411       ,       4.009
tall  , NC , JJ_data/JJ_AFM_7.nid                   , Forward, leveled   ,       21,             1, auto         , 115,  78, 144,  48,          2,              5,  97.492, -2.698 ,   100.19 , 0.812, 819.022,      4.784,               1,            0.812,     814.238,     823.806,   1713.68, 1.308       ,       1.13
short , NC , JJ_data/JJ_AFM_7.nid                   , Forward, leveled   ,       21,             1, auto         , 120,  93, 146, 121,          2,              5,  19.212, -2.267 ,    21.479, 0.578, 726.574,     10.307,               1,            0.578,     716.267,     736.881,   1466.6 , 0.803       ,       0.797
tall  , C  , JJ_data/JJ_AFM_5.nid                   , Forward, leveled   ,       21,             1, auto         ,  92, 109, 126,  80,          1,              3,  93.559, -1.835 ,    95.394, 0.518, 459.666,      2.705,               1,            0.518,     456.961,     462.371,   1728.66, 1.21        ,       0.679
short , C  , JJ_data/JJ_AFM_5.nid                   , Forward, leveled   ,       21,             1, auto         ,  96, 120, 130, 148,          1,              3,  20.426, -1.187 ,    21.613, 0.396, 591.362,      9.825,               1,            0.396,     581.173,     600.823,   1653.86, 0.947       ,       0.546
tall  , C  , New_data_only/JJ_data_0603/JJ_AFM_4.nid, Forward, leveled   ,       21,             1, auto         , 512, 514, 406, 607,          1,              3,  95.088, -1.771 ,    96.859, 1.887, 397.965,      9.404,               1,            1.887,     388.561,     407.369,   1363.13, 1.371       ,       2.615
tall  , C  , New_data_only/JJ_data_0603/JJ_AFM_4.nid, Forward, leveled   ,       21,             1, auto         , 512, 514, 406, 607,          2,              5,  94.122, -1.771 ,    95.893, 1.887, 400.373,      9.126,               1,            1.887,     390.97 ,     409.222,   1363.13, 1.371       ,       2.615
