Detector A/B to T Delay (ns) - T&A,Coincidence Rate (Hz) - T&A,Detector A/B to T Delay (ns) - T&B,Coincidence Rate (Hz) - T&B
-16,153.333,-16,0
-15.5,113.333,-15.5,0
-15,106.667,-15,0
-14.5,123.333,-14.5,0
-14,136.667,-14,0
-13.5,146.667,-13.5,0
-13,93.3333,-13,0
-12.5,140,-12.5,0
-12,136.667,-12,0
-11.5,140,-11.5,0
-11,106.667,-11,0
-10.5,110,-10.5,0
-10,143.333,-10,0
-9.5,120,-9.5,0
-9,116.667,-9,0
-8.5,143.333,-8.5,0
-8,153.333,-8,0
-7.5,156.667,-7.5,0
-7,223.333,-7,0
-6.5,286.667,-6.5,0
-6,550,-6,0
-5.5,1.35667k,-5.5,0
-5,3.02333k,-5,0
-4.5,6.06k,-4.5,0
-4,10.05k,-4,0
-3.5,14.3k,-3.5,0
-3,19.1167k,-3,0
-2.5,22.3633k,-2.5,0
-2,24.8467k,-2,0
-1.5,25.3167k,-1.5,0
-1,25.17k,-1,0
-0.5,25.0567k,-0.5,0
0,22.8367k,0,0
0.5,19.89k,0.5,0
1,15.6067k,1,0
1.5,11.62k,1.5,0
2,7.37333k,2,0
2.5,3.68333k,2.5,0
3,1.6k,3,0
3.5,430,3.5,0
4,133.333,4,0
4.5,126.667,4.5,0
5,103.333,5,0
5.5,116.667,5.5,0
6,130,6,0
6.5,126.667,6.5,0
7,110,7,0
7.5,130,7.5,0
8,153.333,8,0
8.5,116.667,8.5,0
9,66.6667,9,0
9.5,123.333,9.5,0
10,136.667,10,0
10.5,170,10.5,0
11,96.6667,11,0
11.5,110,11.5,0
12,136.667,12,0
12.5,133.333,12.5,0
13,153.333,13,0
13.5,146.667,13.5,0
14,133.333,14,0
14.5,116.667,14.5,0
15,116.667,15,0
15.5,133.333,15.5,0
16,123.333,16,0
