Voltage	Current
0.000000	0.196355
0.007874	0.237215
0.015748	0.407957
0.023622	0.164419
0.031496	0.250358
0.039370	0.337491
0.047244	0.695451
0.055118	0.586025
0.062992	0.127471
0.070866	0.149530
0.078740	0.038586
0.086614	0.250410
0.094488	0.173381
0.102362	0.916993
0.110236	0.762948
0.118110	0.016316
0.125984	0.625548
0.133858	0.072550
0.141732	0.182926
0.149606	0.357706
0.157480	0.767855
0.165354	0.860843
0.173228	0.453624
0.181102	0.137230
0.188976	0.392098
0.196850	0.910182
0.204724	0.006361
0.212598	0.641735
0.220472	0.004926
0.228346	0.769232
0.236220	0.511931
0.244094	0.156483
0.251969	0.179883
0.259843	0.895930
0.267717	0.994084
0.275591	0.929583
0.283465	0.534165
0.291339	0.042291
0.299213	0.110013
