Stage position (?m),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
5.50005,2259,12737,0.0781185,1000,1.11E+06,251148,12737,50372,2259,8,27
5.51958,2011,11929,0.0660009,1000,1.11E+06,250611,11929,50125,2011,6,21
5.53972,1765,10542,0.0250803,1000,1.11E+06,249402,10542,50131,1765,2,7
5.55925,1503,9110,0.0439904,1000,1.11E+06,251047,9110,50363,1503,3,11
5.58,1081,8130,0.0618673,1000,1.11E+06,250082,8130,49803,1081,3,8
5.60015,848,7274,0.0519723,1000,1.11E+06,249882,7274,50334,848,2,9
5.62029,672,6832,0.0992503,1000,1.11E+06,249827,6832,49907,672,3,9
5.63982,527,6574,0.0419756,1000,1.11E+06,249179,6574,50225,527,1,7
5.65996,422,6684,0.159195,1000,1.11E+06,249478,6684,49559,422,3,9
5.67949,495,7349,0.178376,1000,1.11E+06,250254,7349,50324,495,4,11
5.70025,631,8175,0.0703264,1000,1.11E+06,249705,8175,50002,631,2,6
5.71978,807,9432,0.0550486,1000,1.11E+06,250084,9432,49887,807,2,12
5.73992,1127,10829,0.0591234,1000,1.11E+06,249636,10829,49901,1127,3,8
5.76006,1421,11953,0.0312366,1000,1.11E+06,250197,11953,50011,1421,2,13
5.78021,1786,13157,0.0744805,1000,1.11E+06,249721,13157,50007,1786,6,17
5.79974,2019,13802,0.0221456,1000,1.11E+06,249844,13802,49693,2019,2,13
5.81988,2214,14426,0.0804575,1000,1.11E+06,249603,14426,49875,2214,8,19
5.84002,2300,14547,0.0481613,1000,1.11E+06,249145,14547,50005,2300,5,23
5.86016,2404,14208,0.0465596,1000,1.11E+06,250121,14208,49576,2404,5,16
5.8797,2301,13750,0.0386433,1000,1.11E+06,249811,13750,50038,2301,4,13
5.89984,2229,13084,0.0702253,1000,1.11E+06,248852,13084,49640,2229,7,18
5.91998,2025,11843,0.0547107,1000,1.11E+06,249192,11843,50068,2025,5,15
5.94012,1706,10395,0.0131815,1000,1.11E+06,249944,10395,49313,1706,1,13
5.96026,1429,9210,0.0625417,1000,1.11E+06,248638,9210,49730,1429,4,13
5.9798,1146,8235,0.0778295,1000,1.11E+06,248905,8235,49687,1146,4,8
5.99994,876,7298,0.0766315,1000,1.11E+06,249463,7298,49566,876,3,6
6.02008,662,6715,0.100239,1000,1.11E+06,249547,6715,50030,662,3,9
6.04022,502,6269,0.0444344,1000,1.11E+06,248519,6269,49766,502,1,7
6.05976,454,6591,0.0984221,1000,1.11E+06,248828,6591,49658,454,2,6
6.0799,458,7329,0.0487167,1000,1.11E+06,248861,7329,49624,458,1,9
6.10004,624,8260,0.143588,1000,1.11E+06,247702,8260,49498,624,4,14
6.12018,748,9237,0.0895681,1000,1.11E+06,248155,9237,49637,748,3,9
6.13971,1065,10378,0.0833623,1000,1.11E+06,248807,10378,49876,1065,4,12
6.15986,1378,11748,0.0483246,1000,1.11E+06,249239,11748,49899,1378,3,14
6.18,1705,12964,0.0518694,1000,1.11E+06,247889,12964,50141,1705,4,9
6.20075,1938,13638,0.0345878,1000,1.11E+06,248365,13638,49567,1938,3,24
