Time(s),Ch1(V),Ch2(A)
-1.015999999999999959e-01,-2.525841999999999921e+00,-2.969570999999999739e+00
-1.013999999999999901e-01,-2.559974999999999667e+00,-3.037836999999999676e+00
-1.011999999999999983e-01,-2.525841999999999921e+00,-3.003703999999999930e+00
-1.009999999999999926e-01,-2.423442999999999792e+00,-2.867171999999999610e+00
-1.008000000000000007e-01,-2.423442999999999792e+00,-2.867171999999999610e+00
-1.005999999999999950e-01,-2.321043999999999663e+00,-2.764772999999999925e+00
-1.003999999999999893e-01,-2.321043999999999663e+00,-2.730639999999999734e+00
-1.001999999999999974e-01,-2.184511999999999787e+00,-2.662373999999999796e+00
-9.999999999999999167e-02,-2.218644999999999978e+00,-2.628240999999999605e+00
-9.979999999999999982e-02,-2.082112999999999658e+00,-2.525841999999999921e+00
-9.959999999999999409e-02,-2.082112999999999658e+00,-2.525841999999999921e+00
-9.940000000000000224e-02,-1.979713999999999752e+00,-2.423442999999999792e+00
-9.919999999999999651e-02,-1.979713999999999752e+00,-2.423442999999999792e+00
-9.899999999999999079e-02,-1.877314999999999845e+00,-2.321043999999999663e+00
-9.879999999999999893e-02,-1.877314999999999845e+00,-2.286910999999999916e+00
-9.859999999999999321e-02,-1.774915999999999716e+00,-2.184511999999999787e+00
-9.840000000000000135e-02,-1.774915999999999716e+00,-2.184511999999999787e+00
-9.819999999999999563e-02,-1.740782999999999747e+00,-2.082112999999999658e+00
-9.799999999999998990e-02,-1.740782999999999747e+00,-2.082112999999999658e+00
-9.779999999999999805e-02,-1.638383999999999840e+00,-1.979713999999999752e+00
-9.759999999999999232e-02,-1.638383999999999840e+00,-1.979713999999999752e+00
-9.740000000000000047e-02,-1.535984999999999934e+00,-1.877314999999999845e+00
-9.719999999999999474e-02,-1.501851999999999965e+00,-1.877314999999999845e+00
-9.700000000000000289e-02,-1.399452999999999836e+00,-1.774915999999999716e+00
-9.679999999999999716e-02,-1.433585999999999805e+00,-1.740782999999999747e+00
-9.659999999999999143e-02,-1.297053999999999929e+00,-1.672516999999999809e+00
-9.639999999999999958e-02,-1.297053999999999929e+00,-1.638383999999999840e+00
-9.619999999999999385e-02,-1.194654999999999800e+00,-1.535984999999999934e+00
-9.600000000000000200e-02,-1.194654999999999800e+00,-1.535984999999999934e+00
-9.579999999999999627e-02,-1.092255999999999894e+00,-1.433585999999999805e+00
-9.559999999999999054e-02,-1.092255999999999894e+00,-1.433585999999999805e+00
-9.539999999999999869e-02,-9.557239999999999069e-01,-1.331186999999999898e+00
-9.519999999999999296e-02,-9.557239999999999069e-01,-1.331186999999999898e+00
-9.500000000000000111e-02,-8.533249999999998892e-01,-1.228787999999999769e+00
-9.479999999999999538e-02,-8.533249999999998892e-01,-1.228787999999999769e+00
-9.459999999999998965e-02,-8.191919999999999202e-01,-1.126388999999999863e+00
-9.439999999999999780e-02,-8.533249999999998892e-01,-1.126388999999999863e+00
-9.419999999999999207e-02,-8.191919999999999202e-01,-1.023989999999999956e+00
-9.400000000000000022e-02,-8.533249999999998892e-01,-1.058122999999999925e+00
-9.379999999999999449e-02,-8.191919999999999202e-01,-9.215909999999999380e-01
-9.359999999999998876e-02,-8.191919999999999202e-01,-9.215909999999999380e-01
-9.339999999999999691e-02,-6.826599999999999335e-01,-8.191919999999999202e-01
-9.319999999999999118e-02,-7.167929999999999024e-01,-8.191919999999999202e-01
-9.299999999999999933e-02,-5.802609999999999157e-01,-7.167929999999999024e-01
-9.279999999999999361e-02,-5.802609999999999157e-01,-7.167929999999999024e-01
-9.259999999999998788e-02,-4.778619999999999535e-01,-6.143939999999998847e-01
-9.239999999999999603e-02,-4.778619999999999535e-01,-6.143939999999998847e-01
-9.219999999999999030e-02,-3.754629999999999912e-01,-5.119949999999999779e-01
-9.199999999999999845e-02,-3.413299999999999668e-01,-5.119949999999999779e-01
-9.179999999999999272e-02,-2.389309999999999767e-01,-4.095959999999999601e-01
-9.160000000000000087e-02,-2.389309999999999767e-01,-4.095959999999999601e-01
-9.139999999999999514e-02,-1.365319999999999867e-01,-3.071969999999999423e-01
-9.119999999999998941e-02,-1.365319999999999867e-01,-3.071969999999999423e-01
-9.099999999999999756e-02,-3.413299999999999668e-02,-2.047979999999999801e-01
-9.079999999999999183e-02,-3.413299999999999668e-02,-2.047979999999999801e-01
-9.059999999999999998e-02,6.826599999999999335e-02,-1.023989999999999900e-01
-9.039999999999999425e-02,3.413299999999999668e-02,-1.023989999999999900e-01
-9.020000000000000240e-02,6.826599999999999335e-02,0.000000000000000000e+00
-8.999999999999999667e-02,6.826599999999999335e-02,0.000000000000000000e+00
-8.979999999999999094e-02,1.023989999999999900e-01,6.826599999999999335e-02
-8.959999999999999909e-02,6.826599999999999335e-02,1.023989999999999900e-01
-8.939999999999999336e-02,1.706649999999999834e-01,2.047979999999999801e-01
-8.920000000000000151e-02,1.365319999999999867e-01,2.047979999999999801e-01
-8.899999999999999578e-02,2.730639999999999734e-01,3.071969999999999423e-01
-8.879999999999999005e-02,2.730639999999999734e-01,3.071969999999999423e-01
-8.859999999999999820e-02,3.754629999999999912e-01,4.095959999999999601e-01
-8.839999999999999247e-02,3.754629999999999912e-01,4.095959999999999601e-01
-8.820000000000000062e-02,4.778619999999999535e-01,5.119949999999999779e-01
-8.799999999999999489e-02,5.119949999999999779e-01,5.119949999999999779e-01
-8.779999999999998916e-02,6.143939999999998847e-01,6.143939999999998847e-01
