Time(s),Ch1(A),Ch2(V),Ch3(V)
-1.450000000000000074e-02,-1.119578799999999985e+00,-9.215910000000000768e-02,1.365340000000000043e-03
-1.445000000000000104e-02,-1.126405499999999948e+00,-1.092256000000000060e-01,-6.144029999999999977e-03
-1.440000000000000134e-02,-1.119578799999999985e+00,-1.126389000000000001e-01,-3.413349999999999891e-03
-1.434999999999999991e-02,-1.126405499999999948e+00,-1.160522000000000081e-01,1.092272000000000035e-02
-1.430000000000000021e-02,-1.126405499999999948e+00,-1.023990000000000039e-01,4.096020000000000563e-03
-1.425000000000000051e-02,-1.133232199999999912e+00,-1.126389000000000001e-01,-6.826699999999999782e-03
-1.420000000000000082e-02,-1.133232199999999912e+00,-1.126389000000000001e-01,-1.024005000000000054e-02
-1.415000000000000112e-02,-1.126405499999999948e+00,-1.331187000000000065e-01,2.048010000000000282e-03
-1.410000000000000142e-02,-1.133232199999999912e+00,-1.262921000000000182e-01,-6.826699999999999782e-03
-1.404999999999999999e-02,-1.140058899999999875e+00,-1.433586000000000027e-01,2.048010000000000282e-03
-1.400000000000000029e-02,-1.133232199999999912e+00,-1.399452999999999947e-01,6.144029999999999977e-03
-1.395000000000000059e-02,-1.140058899999999875e+00,-1.433586000000000027e-01,-5.461360000000000173e-03
-1.390000000000000090e-02,-1.140058899999999875e+00,-1.467719000000000107e-01,-6.826699999999999782e-03
-1.385000000000000120e-02,-1.146885600000000061e+00,-1.365320000000000145e-01,4.096020000000000563e-03
-1.380000000000000150e-02,-1.146885600000000061e+00,-1.433586000000000027e-01,-5.461360000000000173e-03
-1.375000000000000007e-02,-1.146885600000000061e+00,-1.399452999999999947e-01,6.826699999999999782e-03
-1.370000000000000037e-02,-1.146885600000000061e+00,-1.365320000000000145e-01,4.096020000000000563e-03
-1.365000000000000067e-02,-1.153712300000000024e+00,-1.262921000000000182e-01,-7.509370000000000454e-03
-1.360000000000000098e-02,-1.153712300000000024e+00,-1.365320000000000145e-01,2.730680000000000086e-03
-1.355000000000000128e-02,-1.153712300000000024e+00,-1.672517000000000031e-01,-1.024005000000000054e-02
-1.350000000000000158e-02,-1.153712300000000024e+00,-1.638383999999999951e-01,-6.826699999999999782e-03
-1.345000000000000015e-02,-1.167365699999999951e+00,-1.399452999999999947e-01,1.024005000000000054e-02
-1.340000000000000045e-02,-1.160538999999999987e+00,-1.331187000000000065e-01,7.509370000000000454e-03
-1.335000000000000075e-02,-1.167365699999999951e+00,-1.194655000000000022e-01,-8.192040000000001126e-03
-1.330000000000000106e-02,-1.160538999999999987e+00,-1.228788000000000102e-01,3.413349999999999891e-03
-1.325000000000000136e-02,-1.167365699999999951e+00,-1.399452999999999947e-01,-8.874710000000000931e-03
-1.319999999999999993e-02,-1.167365699999999951e+00,-1.501852000000000187e-01,-5.461360000000000173e-03
-1.315000000000000023e-02,-1.174192399999999914e+00,-1.331187000000000065e-01,6.826699999999999782e-03
-1.310000000000000053e-02,-1.174192399999999914e+00,-1.297053999999999985e-01,4.778690000000000368e-03
-1.305000000000000084e-02,-1.181019099999999877e+00,-1.501852000000000187e-01,-8.192040000000001126e-03
-1.300000000000000114e-02,-1.174192399999999914e+00,-1.638383999999999951e-01,-8.192040000000001126e-03
-1.294999999999999971e-02,-1.181019099999999877e+00,-1.501852000000000187e-01,5.461360000000000173e-03
-1.290000000000000001e-02,-1.187845800000000063e+00,-1.535984999999999989e-01,-5.461360000000000173e-03
-1.285000000000000031e-02,-1.181019099999999877e+00,-1.399452999999999947e-01,9.557380000000000736e-03
-1.280000000000000061e-02,-1.187845800000000063e+00,-1.433586000000000027e-01,-4.778690000000000368e-03
-1.275000000000000092e-02,-1.187845800000000063e+00,-1.331187000000000065e-01,5.461360000000000173e-03
-1.270000000000000122e-02,-1.187845800000000063e+00,-1.433586000000000027e-01,-1.024005000000000054e-02
-1.265000000000000152e-02,-1.194672500000000026e+00,-1.570118000000000069e-01,6.826699999999999782e-03
-1.260000000000000009e-02,-1.194672500000000026e+00,-1.535984999999999989e-01,-1.092272000000000035e-02
-1.255000000000000039e-02,-1.194672500000000026e+00,-1.706650000000000111e-01,5.461360000000000173e-03
-1.250000000000000069e-02,-1.194672500000000026e+00,-1.638383999999999951e-01,-5.461360000000000173e-03
-1.245000000000000100e-02,-1.201499199999999989e+00,-1.501852000000000187e-01,6.144029999999999977e-03
-1.240000000000000130e-02,-1.201499199999999989e+00,-1.467719000000000107e-01,4.096020000000000563e-03
-1.234999999999999987e-02,-1.208325899999999953e+00,-1.672517000000000031e-01,-1.365339999999999956e-02
-1.230000000000000017e-02,-1.201499199999999989e+00,-1.706650000000000111e-01,-1.024005000000000054e-02
-1.225000000000000047e-02,-1.208325899999999953e+00,-1.877315000000000234e-01,6.144029999999999977e-03
-1.220000000000000077e-02,-1.208325899999999953e+00,-1.740783000000000191e-01,-8.874710000000000931e-03
-1.215000000000000108e-02,-1.215152599999999916e+00,-1.809049000000000074e-01,4.778690000000000368e-03
-1.209999999999999964e-02,-1.215152599999999916e+00,-1.774915999999999994e-01,7.509370000000000454e-03
-1.205000000000000168e-02,-1.221979299999999879e+00,-1.604251000000000149e-01,-4.778690000000000368e-03
-1.200000000000000025e-02,-1.215152599999999916e+00,-1.740783000000000191e-01,-8.874710000000000931e-03
-1.195000000000000055e-02,-1.221979299999999879e+00,-1.638383999999999951e-01,6.826699999999999782e-03
-1.190000000000000085e-02,-1.221979299999999879e+00,-1.604251000000000149e-01,-6.144029999999999977e-03
-1.185000000000000116e-02,-1.228806000000000065e+00,-1.638383999999999951e-01,8.192040000000001126e-03
-1.180000000000000146e-02,-1.221979299999999879e+00,-1.604251000000000149e-01,5.461360000000000173e-03
-1.175000000000000003e-02,-1.228806000000000065e+00,-1.501852000000000187e-01,-7.509370000000000454e-03
-1.170000000000000033e-02,-1.228806000000000065e+00,-1.570118000000000069e-01,4.778690000000000368e-03
-1.165000000000000063e-02,-1.235632700000000028e+00,-1.638383999999999951e-01,-6.144029999999999977e-03
-1.160000000000000094e-02,-1.235632700000000028e+00,-1.672517000000000031e-01,-6.144029999999999977e-03
-1.155000000000000124e-02,-1.235632700000000028e+00,-1.638383999999999951e-01,4.778690000000000368e-03
-1.149999999999999981e-02,-1.235632700000000028e+00,-1.672517000000000031e-01,-4.778690000000000368e-03
-1.145000000000000011e-02,-1.242459399999999992e+00,-1.774915999999999994e-01,2.730680000000000086e-03
-1.140000000000000041e-02,-1.242459399999999992e+00,-1.774915999999999994e-01,-1.024005000000000054e-02
