Time(s),Ch1(A),Ch2(V),Ch3(V)
-1.000000000000000056e-01,-4.778689999999999882e-01,1.365339999999999956e-02,1.740782999999999914e-02
-9.979999999999999982e-02,-4.983490999999999893e-01,6.826699999999999782e-03,6.826599999999999509e-03
-9.960000000000000797e-02,-4.915223999999999704e-01,6.826699999999999782e-03,6.143939999999999645e-03
-9.940000000000000224e-02,-5.120025000000000270e-01,1.365339999999999956e-02,2.116245999999999752e-02
-9.920000000000001039e-02,-5.120025000000000270e-01,1.365339999999999956e-02,0.000000000000000000e+00
-9.900000000000000466e-02,-5.324826000000000281e-01,0.000000000000000000e+00,1.740782999999999914e-02
-9.879999999999999893e-02,-5.324826000000000281e-01,1.365339999999999956e-02,1.877314999999999887e-02
-9.860000000000000708e-02,-5.529627000000000292e-01,6.826699999999999782e-03,4.095960000000000052e-03
-9.840000000000000135e-02,-5.461359999999999548e-01,1.365339999999999956e-02,1.672517000000000101e-02
-9.820000000000000950e-02,-5.666160999999999559e-01,6.826699999999999782e-03,-1.706649999999999877e-03
-9.800000000000000377e-02,-5.666160999999999559e-01,6.826699999999999782e-03,1.638384000000000021e-02
-9.780000000000001192e-02,-5.870961999999999570e-01,0.000000000000000000e+00,-1.365319999999999945e-03
-9.760000000000000620e-02,-5.802694999999999936e-01,0.000000000000000000e+00,1.092255999999999956e-02
-9.740000000000000047e-02,-6.075762999999999581e-01,6.826699999999999782e-03,-6.143939999999999645e-03
-9.720000000000000862e-02,-6.007495999999999947e-01,6.826699999999999782e-03,7.167929999999999441e-03
-9.700000000000000289e-02,-6.212296999999999958e-01,-6.826699999999999782e-03,-5.119949999999999848e-03
-9.680000000000001104e-02,-6.212296999999999958e-01,0.000000000000000000e+00,6.143939999999999645e-03
-9.660000000000000531e-02,-6.348831000000000335e-01,-6.826699999999999782e-03,-5.461279999999999780e-03
-9.639999999999999958e-02,-6.417097999999999969e-01,0.000000000000000000e+00,5.119949999999999848e-03
-9.620000000000000773e-02,-6.553632000000000346e-01,-6.826699999999999782e-03,-1.023989999999999970e-02
-9.600000000000000200e-02,-6.553632000000000346e-01,-6.826699999999999782e-03,4.778619999999999916e-03
-9.580000000000001015e-02,-6.690165999999999613e-01,0.000000000000000000e+00,-9.557239999999999833e-03
-9.560000000000000442e-02,-6.690165999999999613e-01,0.000000000000000000e+00,4.095960000000000052e-03
-9.540000000000001257e-02,-6.894966999999999624e-01,-1.365339999999999956e-02,-1.194655000000000022e-02
