Time(s),Ch1(V),Ch2(A)
-1.000000000000000056e-01,-2.525841999999999921e+00,-3.003703999999999930e+00
-9.997999999999999943e-02,-2.491708999999999730e+00,-2.969570999999999739e+00
-9.996000000000000718e-02,-2.491708999999999730e+00,-2.969570999999999739e+00
-9.994000000000000106e-02,-2.491708999999999730e+00,-2.969570999999999739e+00
-9.992000000000000881e-02,-2.457575999999999539e+00,-2.935437999999999548e+00
-9.990000000000000269e-02,-2.491708999999999730e+00,-2.935437999999999548e+00
-9.988000000000001044e-02,-2.491708999999999730e+00,-2.935437999999999548e+00
-9.986000000000000432e-02,-2.457575999999999539e+00,-2.935437999999999548e+00
-9.984000000000001207e-02,-2.457575999999999539e+00,-2.935437999999999548e+00
-9.982000000000000595e-02,-2.457575999999999539e+00,-2.901304999999999801e+00
-9.979999999999999982e-02,-2.457575999999999539e+00,-2.935437999999999548e+00
-9.978000000000000758e-02,-2.457575999999999539e+00,-2.901304999999999801e+00
-9.976000000000000145e-02,-2.423442999999999792e+00,-2.901304999999999801e+00
-9.974000000000000921e-02,-2.423442999999999792e+00,-2.901304999999999801e+00
-9.972000000000000308e-02,-2.423442999999999792e+00,-2.901304999999999801e+00
-9.970000000000001084e-02,-2.423442999999999792e+00,-2.901304999999999801e+00
-9.968000000000000471e-02,-2.423442999999999792e+00,-2.867171999999999610e+00
-9.965999999999999859e-02,-2.423442999999999792e+00,-2.867171999999999610e+00
-9.964000000000000634e-02,-2.389309999999999601e+00,-2.867171999999999610e+00
-9.962000000000000022e-02,-2.389309999999999601e+00,-2.867171999999999610e+00
-9.960000000000000797e-02,-2.389309999999999601e+00,-2.867171999999999610e+00
-9.958000000000000185e-02,-2.389309999999999601e+00,-2.867171999999999610e+00
-9.956000000000000960e-02,-2.389309999999999601e+00,-2.867171999999999610e+00
-9.954000000000000348e-02,-2.355176999999999854e+00,-2.833038999999999863e+00
-9.952000000000001123e-02,-2.355176999999999854e+00,-2.833038999999999863e+00
-9.950000000000000511e-02,-2.355176999999999854e+00,-2.833038999999999863e+00
-9.947999999999999898e-02,-2.355176999999999854e+00,-2.833038999999999863e+00
-9.946000000000000674e-02,-2.355176999999999854e+00,-2.833038999999999863e+00
-9.944000000000000061e-02,-2.355176999999999854e+00,-2.833038999999999863e+00
-9.942000000000000837e-02,-2.355176999999999854e+00,-2.798905999999999672e+00
-9.940000000000000224e-02,-2.321043999999999663e+00,-2.798905999999999672e+00
-9.938000000000001000e-02,-2.321043999999999663e+00,-2.798905999999999672e+00
-9.936000000000000387e-02,-2.321043999999999663e+00,-2.798905999999999672e+00
-9.934000000000001163e-02,-2.321043999999999663e+00,-2.764772999999999925e+00
-9.932000000000000550e-02,-2.321043999999999663e+00,-2.764772999999999925e+00
-9.929999999999999938e-02,-2.321043999999999663e+00,-2.764772999999999925e+00
-9.928000000000000713e-02,-2.286910999999999916e+00,-2.764772999999999925e+00
-9.926000000000000101e-02,-2.286910999999999916e+00,-2.764772999999999925e+00
-9.924000000000000876e-02,-2.286910999999999916e+00,-2.764772999999999925e+00
-9.922000000000000264e-02,-2.286910999999999916e+00,-2.730639999999999734e+00
-9.920000000000001039e-02,-2.286910999999999916e+00,-2.730639999999999734e+00
-9.918000000000000427e-02,-2.286910999999999916e+00,-2.730639999999999734e+00
-9.916000000000001202e-02,-2.286910999999999916e+00,-2.730639999999999734e+00
-9.914000000000000590e-02,-2.286910999999999916e+00,-2.730639999999999734e+00
-9.911999999999999977e-02,-2.252777999999999725e+00,-2.730639999999999734e+00
-9.910000000000000753e-02,-2.252777999999999725e+00,-2.696506999999999543e+00
-9.908000000000000140e-02,-2.252777999999999725e+00,-2.696506999999999543e+00
-9.906000000000000916e-02,-2.252777999999999725e+00,-2.696506999999999543e+00
-9.904000000000000303e-02,-2.252777999999999725e+00,-2.696506999999999543e+00
-9.902000000000001079e-02,-2.252777999999999725e+00,-2.696506999999999543e+00
-9.900000000000000466e-02,-2.218644999999999978e+00,-2.696506999999999543e+00
-9.898000000000001242e-02,-2.218644999999999978e+00,-2.662373999999999796e+00
-9.896000000000000629e-02,-2.218644999999999978e+00,-2.662373999999999796e+00
-9.894000000000000017e-02,-2.218644999999999978e+00,-2.662373999999999796e+00
-9.892000000000000792e-02,-2.218644999999999978e+00,-2.662373999999999796e+00
-9.890000000000000180e-02,-2.218644999999999978e+00,-2.662373999999999796e+00
-9.888000000000000955e-02,-2.218644999999999978e+00,-2.662373999999999796e+00
-9.886000000000000343e-02,-2.184511999999999787e+00,-2.662373999999999796e+00
-9.884000000000001118e-02,-2.184511999999999787e+00,-2.628240999999999605e+00
-9.882000000000000506e-02,-2.184511999999999787e+00,-2.628240999999999605e+00
-9.879999999999999893e-02,-2.184511999999999787e+00,-2.628240999999999605e+00
-9.878000000000000669e-02,-2.184511999999999787e+00,-2.628240999999999605e+00
-9.876000000000000056e-02,-2.184511999999999787e+00,-2.594107999999999858e+00
-9.874000000000000832e-02,-2.184511999999999787e+00,-2.594107999999999858e+00
-9.872000000000000219e-02,-2.150378999999999596e+00,-2.594107999999999858e+00
-9.870000000000000995e-02,-2.150378999999999596e+00,-2.594107999999999858e+00
-9.868000000000000382e-02,-2.150378999999999596e+00,-2.594107999999999858e+00
-9.866000000000001158e-02,-2.150378999999999596e+00,-2.594107999999999858e+00
-9.864000000000000545e-02,-2.150378999999999596e+00,-2.594107999999999858e+00
-9.861999999999999933e-02,-2.116245999999999849e+00,-2.559974999999999667e+00
-9.860000000000000708e-02,-2.116245999999999849e+00,-2.559974999999999667e+00
-9.858000000000000096e-02,-2.116245999999999849e+00,-2.559974999999999667e+00
-9.856000000000000871e-02,-2.116245999999999849e+00,-2.559974999999999667e+00
-9.854000000000000259e-02,-2.116245999999999849e+00,-2.559974999999999667e+00
-9.852000000000001034e-02,-2.116245999999999849e+00,-2.559974999999999667e+00
-9.850000000000000422e-02,-2.116245999999999849e+00,-2.525841999999999921e+00
-9.848000000000001197e-02,-2.116245999999999849e+00,-2.525841999999999921e+00
-9.846000000000000585e-02,-2.082112999999999658e+00,-2.525841999999999921e+00
-9.843999999999999972e-02,-2.082112999999999658e+00,-2.525841999999999921e+00
