Time(s),Ch1(A),Ch2(V)
-5.000000000000000104e-03,-1.536029999999999895e-01,-1.501851999999999875e-02
-4.990000000000000512e-03,-1.365359999999999907e-01,-1.535984999999999955e-02
-4.980000000000000052e-03,-1.365359999999999907e-01,-1.331186999999999995e-02
-4.970000000000000459e-03,-1.536029999999999895e-01,-1.501851999999999875e-02
-4.959999999999999999e-03,-1.536029999999999895e-01,-1.365319999999999902e-02
-4.950000000000000407e-03,-1.365359999999999907e-01,-1.638384000000000021e-02
-4.939999999999999947e-03,-1.706699999999999884e-01,-1.535984999999999955e-02
-4.930000000000000354e-03,-1.365359999999999907e-01,-1.877314999999999887e-02
-4.919999999999999894e-03,-1.365359999999999907e-01,-1.809049000000000074e-02
-4.910000000000000302e-03,-1.536029999999999895e-01,-1.672517000000000101e-02
-4.899999999999999842e-03,-1.365359999999999907e-01,-1.877314999999999887e-02
-4.890000000000000249e-03,-1.536029999999999895e-01,-1.570117999999999861e-02
-4.879999999999999789e-03,-1.536029999999999895e-01,-1.740782999999999914e-02
-4.870000000000000197e-03,-1.365359999999999907e-01,-1.467718999999999968e-02
-4.859999999999999737e-03,-1.536029999999999895e-01,-1.604250999999999941e-02
-4.850000000000000144e-03,-1.194689999999999919e-01,-1.467718999999999968e-02
-4.839999999999999684e-03,-1.194689999999999919e-01,-1.570117999999999861e-02
-4.830000000000000092e-03,-1.365359999999999907e-01,-1.877314999999999887e-02
-4.820000000000000499e-03,-1.536029999999999895e-01,-1.911447999999999967e-02
-4.810000000000000039e-03,-1.194689999999999919e-01,-1.706649999999999834e-02
-4.800000000000000447e-03,-1.365359999999999907e-01,-1.774915999999999994e-02
-4.789999999999999987e-03,-1.194689999999999919e-01,-1.570117999999999861e-02
-4.780000000000000394e-03,-1.365359999999999907e-01,-1.535984999999999955e-02
-4.769999999999999934e-03,-1.194689999999999919e-01,-1.843181999999999807e-02
-4.760000000000000342e-03,-1.365359999999999907e-01,-1.979713999999999779e-02
-4.749999999999999882e-03,-1.194689999999999919e-01,-1.740782999999999914e-02
-4.740000000000000289e-03,-1.365359999999999907e-01,-1.877314999999999887e-02
-4.729999999999999830e-03,-1.194689999999999919e-01,-1.638384000000000021e-02
-4.720000000000000237e-03,-1.194689999999999919e-01,-1.843181999999999807e-02
-4.709999999999999777e-03,-1.365359999999999907e-01,-1.570117999999999861e-02
-4.700000000000000185e-03,-1.365359999999999907e-01,-1.638384000000000021e-02
-4.689999999999999725e-03,-1.194689999999999919e-01,-1.365319999999999902e-02
-4.680000000000000132e-03,-1.024019999999999930e-01,-1.535984999999999955e-02
-4.669999999999999672e-03,-1.194689999999999919e-01,-1.774915999999999994e-02
-4.660000000000000080e-03,-1.024019999999999930e-01,-1.706649999999999834e-02
-4.649999999999999620e-03,-1.194689999999999919e-01,-1.945581000000000046e-02
-4.640000000000000027e-03,-1.365359999999999907e-01,-1.911447999999999967e-02
-4.630000000000000435e-03,-1.024019999999999930e-01,-1.706649999999999834e-02
-4.619999999999999975e-03,-1.194689999999999919e-01,-1.843181999999999807e-02
-4.610000000000000382e-03,-1.024019999999999930e-01,-1.706649999999999834e-02
-4.599999999999999922e-03,-1.194689999999999919e-01,-1.911447999999999967e-02
-4.590000000000000330e-03,-8.533499999999999419e-02,-1.638384000000000021e-02
-4.579999999999999870e-03,-1.194689999999999919e-01,-1.740782999999999914e-02
-4.570000000000000277e-03,-8.533499999999999419e-02,-1.604250999999999941e-02
-4.559999999999999817e-03,-8.533499999999999419e-02,-1.843181999999999807e-02
-4.550000000000000225e-03,-1.194689999999999919e-01,-1.604250999999999941e-02
-4.539999999999999765e-03,-1.194689999999999919e-01,-1.672517000000000101e-02
-4.530000000000000172e-03,-8.533499999999999419e-02,-1.570117999999999861e-02
-4.519999999999999712e-03,-1.194689999999999919e-01,-1.604250999999999941e-02
-4.510000000000000120e-03,-8.533499999999999419e-02,-1.433585999999999888e-02
-4.500000000000000527e-03,-1.194689999999999919e-01,-1.706649999999999834e-02
-4.490000000000000067e-03,-8.533499999999999419e-02,-1.433585999999999888e-02
-4.479999999999999608e-03,-8.533499999999999419e-02,-1.501851999999999875e-02
-4.470000000000000015e-03,-1.194689999999999919e-01,-1.740782999999999914e-02
-4.460000000000000422e-03,-1.194689999999999919e-01,-1.774915999999999994e-02
-4.449999999999999963e-03,-6.826799999999999535e-02,-2.218644999999999992e-02
-4.440000000000000370e-03,-1.024019999999999930e-01,-2.218644999999999992e-02
-4.429999999999999910e-03,-6.826799999999999535e-02,-2.082113000000000019e-02
-4.420000000000000318e-03,-8.533499999999999419e-02,-2.047979999999999939e-02
-4.409999999999999858e-03,-1.024019999999999930e-01,-2.252778000000000072e-02
-4.400000000000000265e-03,-6.826799999999999535e-02,-2.218644999999999992e-02
-4.389999999999999805e-03,-1.024019999999999930e-01,-1.979713999999999779e-02
-4.380000000000000213e-03,-6.826799999999999535e-02,-2.218644999999999992e-02
-4.369999999999999753e-03,-1.024019999999999930e-01,-2.013846999999999859e-02
-4.360000000000000160e-03,-6.826799999999999535e-02,-1.979713999999999779e-02
-4.349999999999999700e-03,-1.024019999999999930e-01,-2.116245999999999752e-02
-4.340000000000000108e-03,-6.826799999999999535e-02,-2.047979999999999939e-02
-4.330000000000000515e-03,-1.024019999999999930e-01,-2.252778000000000072e-02
-4.320000000000000055e-03,-1.024019999999999930e-01,-2.184511999999999912e-02
-4.309999999999999595e-03,-6.826799999999999535e-02,-2.389310000000000045e-02
-4.300000000000000003e-03,-8.533499999999999419e-02,-2.286910999999999805e-02
-4.290000000000000410e-03,-6.826799999999999535e-02,-2.047979999999999939e-02
-4.279999999999999950e-03,-6.826799999999999535e-02,-2.150378999999999832e-02
-4.270000000000000358e-03,-8.533499999999999419e-02,-2.013846999999999859e-02
-4.259999999999999898e-03,-8.533499999999999419e-02,-2.047979999999999939e-02
-4.250000000000000305e-03,-6.826799999999999535e-02,-2.150378999999999832e-02
-4.239999999999999845e-03,-8.533499999999999419e-02,-2.082113000000000019e-02
-4.230000000000000253e-03,-5.120099999999999651e-02,-1.945581000000000046e-02
-4.219999999999999793e-03,-8.533499999999999419e-02,-1.979713999999999779e-02
-4.210000000000000200e-03,-5.120099999999999651e-02,-1.809049000000000074e-02
-4.199999999999999740e-03,-8.533499999999999419e-02,-1.843181999999999807e-02
-4.190000000000000148e-03,-6.826799999999999535e-02,-2.116245999999999752e-02
-4.179999999999999688e-03,-8.533499999999999419e-02,-2.013846999999999859e-02
-4.170000000000000095e-03,-5.120099999999999651e-02,-2.218644999999999992e-02
-4.160000000000000503e-03,-6.826799999999999535e-02,-2.116245999999999752e-02
-4.150000000000000043e-03,-5.120099999999999651e-02,-2.286910999999999805e-02
-4.139999999999999583e-03,-8.533499999999999419e-02,-2.218644999999999992e-02
-4.129999999999999991e-03,-5.120099999999999651e-02,-2.047979999999999939e-02
-4.120000000000000398e-03,-6.826799999999999535e-02,-2.013846999999999859e-02
-4.109999999999999938e-03,-5.120099999999999651e-02,-2.116245999999999752e-02
-4.100000000000000346e-03,-6.826799999999999535e-02,-1.979713999999999779e-02
-4.089999999999999886e-03,-5.120099999999999651e-02,-2.116245999999999752e-02
-4.080000000000000293e-03,-6.826799999999999535e-02,-2.116245999999999752e-02
-4.069999999999999833e-03,-3.413399999999999768e-02,-2.286910999999999805e-02
-4.060000000000000241e-03,-3.413399999999999768e-02,-2.218644999999999992e-02
-4.049999999999999781e-03,-6.826799999999999535e-02,-2.423442999999999778e-02
-4.040000000000000188e-03,-6.826799999999999535e-02,-2.355176999999999965e-02
-4.029999999999999728e-03,-3.413399999999999768e-02,-2.218644999999999992e-02
-4.020000000000000136e-03,-3.413399999999999768e-02,-2.321043999999999885e-02
-4.009999999999999676e-03,-6.826799999999999535e-02,-2.150378999999999832e-02
-4.000000000000000083e-03,-5.120099999999999651e-02,-2.218644999999999992e-02
-3.990000000000000491e-03,-3.413399999999999768e-02,-1.945581000000000046e-02
-3.980000000000000031e-03,-3.413399999999999768e-02,-1.843181999999999807e-02
-3.969999999999999571e-03,-6.826799999999999535e-02,-1.911447999999999967e-02
-3.959999999999999978e-03,-3.413399999999999768e-02,-1.911447999999999967e-02
-3.950000000000000386e-03,-5.120099999999999651e-02,-2.423442999999999778e-02
-3.939999999999999926e-03,-3.413399999999999768e-02,-2.355176999999999965e-02
-3.930000000000000333e-03,-5.120099999999999651e-02,-2.559974999999999751e-02
-3.919999999999999873e-03,-6.826799999999999535e-02,-2.594107999999999831e-02
-3.910000000000000281e-03,-3.413399999999999768e-02,-2.457575999999999858e-02
-3.899999999999999821e-03,-3.413399999999999768e-02,-2.423442999999999778e-02
-3.890000000000000228e-03,-6.826799999999999535e-02,-2.184511999999999912e-02
-3.879999999999999769e-03,-5.120099999999999651e-02,-2.218644999999999992e-02
-3.870000000000000176e-03,-3.413399999999999768e-02,-2.389310000000000045e-02
-3.859999999999999716e-03,-5.120099999999999651e-02,-2.321043999999999885e-02
-3.850000000000000124e-03,-3.413399999999999768e-02,-2.525842000000000018e-02
-3.840000000000000097e-03,-5.120099999999999651e-02,-2.594107999999999831e-02
-3.830000000000000071e-03,-1.706699999999999884e-02,-2.423442999999999778e-02
-3.820000000000000045e-03,-1.706699999999999884e-02,-2.559974999999999751e-02
-3.810000000000000019e-03,-5.120099999999999651e-02,-2.389310000000000045e-02
-3.799999999999999992e-03,-5.120099999999999651e-02,-2.321043999999999885e-02
-3.789999999999999966e-03,-1.706699999999999884e-02,-2.559974999999999751e-02
-3.779999999999999940e-03,-1.706699999999999884e-02,-2.491708999999999938e-02
-3.769999999999999914e-03,-3.413399999999999768e-02,-2.594107999999999831e-02
-3.760000000000000321e-03,-1.706699999999999884e-02,-2.559974999999999751e-02
-3.749999999999999861e-03,-3.413399999999999768e-02,-2.764772999999999883e-02
-3.740000000000000269e-03,-3.413399999999999768e-02,-2.764772999999999883e-02
-3.729999999999999809e-03,-1.706699999999999884e-02,-2.355176999999999965e-02
-3.720000000000000216e-03,-3.413399999999999768e-02,-2.252778000000000072e-02
-3.709999999999999756e-03,0.000000000000000000e+00,-2.457575999999999858e-02
-3.700000000000000164e-03,-3.413399999999999768e-02,-2.355176999999999965e-02
-3.689999999999999704e-03,0.000000000000000000e+00,-2.184511999999999912e-02
-3.680000000000000111e-03,-3.413399999999999768e-02,-2.321043999999999885e-02
-3.670000000000000085e-03,0.000000000000000000e+00,-2.559974999999999751e-02
-3.660000000000000059e-03,0.000000000000000000e+00,-2.491708999999999938e-02
-3.650000000000000033e-03,-1.706699999999999884e-02,-2.662373999999999991e-02
-3.640000000000000006e-03,-1.706699999999999884e-02,-2.730639999999999804e-02
-3.629999999999999980e-03,0.000000000000000000e+00,-2.457575999999999858e-02
-3.619999999999999954e-03,0.000000000000000000e+00,-2.491708999999999938e-02
-3.609999999999999928e-03,-1.706699999999999884e-02,-2.559974999999999751e-02
-3.599999999999999901e-03,-1.706699999999999884e-02,-2.594107999999999831e-02
-3.590000000000000309e-03,0.000000000000000000e+00,-2.491708999999999938e-02
-3.579999999999999849e-03,-1.706699999999999884e-02,-2.423442999999999778e-02
-3.570000000000000256e-03,1.706699999999999884e-02,-2.594107999999999831e-02
-3.559999999999999797e-03,1.706699999999999884e-02,-2.594107999999999831e-02
-3.550000000000000204e-03,-1.706699999999999884e-02,-2.798905999999999963e-02
-3.539999999999999744e-03,1.706699999999999884e-02,-2.764772999999999883e-02
-3.530000000000000152e-03,-1.706699999999999884e-02,-2.525842000000000018e-02
-3.519999999999999692e-03,1.706699999999999884e-02,-2.525842000000000018e-02
-3.510000000000000099e-03,-1.706699999999999884e-02,-2.184511999999999912e-02
-3.500000000000000073e-03,-1.706699999999999884e-02,-2.082113000000000019e-02
-3.490000000000000047e-03,1.706699999999999884e-02,-1.843181999999999807e-02
-3.480000000000000020e-03,0.000000000000000000e+00,-1.877314999999999887e-02
-3.469999999999999994e-03,1.706699999999999884e-02,-2.423442999999999778e-02
-3.459999999999999968e-03,0.000000000000000000e+00,-2.491708999999999938e-02
-3.449999999999999942e-03,1.706699999999999884e-02,-2.798905999999999963e-02
-3.439999999999999915e-03,0.000000000000000000e+00,-2.696506999999999724e-02
-3.429999999999999889e-03,3.413399999999999768e-02,-2.935437999999999936e-02
-3.420000000000000297e-03,0.000000000000000000e+00,-2.867171999999999776e-02
-3.409999999999999837e-03,3.413399999999999768e-02,-2.628240999999999911e-02
-3.400000000000000244e-03,1.706699999999999884e-02,-2.764772999999999883e-02
-3.389999999999999784e-03,1.706699999999999884e-02,-2.525842000000000018e-02
-3.380000000000000192e-03,0.000000000000000000e+00,-2.559974999999999751e-02
-3.369999999999999732e-03,3.413399999999999768e-02,-2.764772999999999883e-02
-3.360000000000000139e-03,0.000000000000000000e+00,-2.559974999999999751e-02
-3.349999999999999679e-03,3.413399999999999768e-02,-2.730639999999999804e-02
-3.340000000000000087e-03,3.413399999999999768e-02,-2.662373999999999991e-02
-3.330000000000000061e-03,1.706699999999999884e-02,-2.833039000000000043e-02
-3.320000000000000034e-03,1.706699999999999884e-02,-2.628240999999999911e-02
-3.310000000000000008e-03,3.413399999999999768e-02,-2.901304999999999856e-02
-3.299999999999999982e-03,3.413399999999999768e-02,-2.798905999999999963e-02
-3.289999999999999956e-03,1.706699999999999884e-02,-2.696506999999999724e-02
-3.279999999999999930e-03,1.706699999999999884e-02,-2.867171999999999776e-02
-3.269999999999999903e-03,3.413399999999999768e-02,-2.662373999999999991e-02
-3.259999999999999877e-03,1.706699999999999884e-02,-2.764772999999999883e-02
-3.250000000000000284e-03,3.413399999999999768e-02,-2.491708999999999938e-02
-3.239999999999999825e-03,3.413399999999999768e-02,-2.355176999999999965e-02
-3.230000000000000232e-03,1.706699999999999884e-02,-2.116245999999999752e-02
-3.219999999999999772e-03,5.120099999999999651e-02,-2.150378999999999832e-02
