Time(s),Ch1(V),Ch2(A)
-5.000000000000000000e-01,8.738304000000000071e-01,4.915151999999999077e+00
-4.994999999999999996e-01,8.516432999999999920e-01,4.744486999999999455e+00
-4.989999999999999991e-01,8.584701000000000137e-01,4.778619999999999202e+00
-4.984999999999999987e-01,8.294561999999999768e-01,4.607954999999999579e+00
-4.979999999999999982e-01,8.362829999999999986e-01,4.642087999999999326e+00
-4.974999999999999978e-01,8.226293999999999551e-01,4.471422999999999703e+00
-4.969999999999999973e-01,8.294561999999999768e-01,4.471422999999999703e+00
-4.964999999999999969e-01,8.550567000000000029e-01,4.334890999999999828e+00
-4.959999999999999964e-01,8.499366000000000421e-01,4.334890999999999828e+00
-4.954999999999999960e-01,8.789504999999999679e-01,4.198358999999999952e+00
-4.949999999999999956e-01,8.840706000000000397e-01,4.198358999999999952e+00
-4.944999999999999951e-01,8.687103000000000463e-01,4.061826999999999188e+00
-4.939999999999999947e-01,8.823638999999999788e-01,4.061826999999999188e+00
-4.934999999999999942e-01,8.635901999999999745e-01,3.925294999999999757e+00
-4.929999999999999938e-01,8.738304000000000071e-01,3.925294999999999757e+00
-4.924999999999999933e-01,8.465232000000000312e-01,3.788762999999999437e+00
-4.919999999999999929e-01,8.550567000000000029e-01,3.788762999999999437e+00
-4.914999999999999925e-01,8.277495000000000269e-01,3.652230999999999561e+00
-4.909999999999999920e-01,8.192160000000000553e-01,3.652230999999999561e+00
-4.904999999999999916e-01,8.362829999999999986e-01,3.481565999999999494e+00
-4.899999999999999911e-01,8.294561999999999768e-01,3.515698999999999685e+00
-4.894999999999999907e-01,8.516432999999999920e-01,3.413299999999999557e+00
-4.889999999999999902e-01,8.414030999999999594e-01,3.481565999999999494e+00
-4.884999999999999898e-01,8.243361000000000161e-01,3.686363999999999752e+00
-4.879999999999999893e-01,8.294561999999999768e-01,3.652230999999999561e+00
-4.874999999999999889e-01,8.584701000000000137e-01,3.822895999999999628e+00
-4.869999999999999885e-01,8.516432999999999920e-01,3.822895999999999628e+00
-4.864999999999999880e-01,8.806572000000000289e-01,3.993560999999999694e+00
-4.859999999999999876e-01,8.704169999999999963e-01,3.959427999999999503e+00
-4.854999999999999871e-01,8.874840000000000506e-01,4.130092999999999570e+00
-4.849999999999999867e-01,8.840706000000000397e-01,4.095959999999999823e+00
-4.844999999999999862e-01,8.601767999999999637e-01,4.266624999999999446e+00
-4.839999999999999858e-01,8.687103000000000463e-01,4.232491999999999699e+00
-4.834999999999999853e-01,8.414030999999999594e-01,4.403156999999999321e+00
-4.829999999999999849e-01,8.516432999999999920e-01,4.403156999999999321e+00
-4.824999999999999845e-01,8.226293999999999551e-01,4.573821999999999832e+00
-4.819999999999999840e-01,8.192160000000000553e-01,4.539688999999999197e+00
-4.814999999999999836e-01,8.448164999999999702e-01,4.710353999999999708e+00
-4.809999999999999831e-01,8.362829999999999986e-01,4.676220999999999961e+00
-4.804999999999999827e-01,8.687103000000000463e-01,4.846885999999999584e+00
-4.799999999999999822e-01,8.601767999999999637e-01,4.812752999999999837e+00
-4.794999999999999818e-01,8.840706000000000397e-01,4.983417999999999459e+00
-4.789999999999999813e-01,8.704169999999999963e-01,4.949284999999999712e+00
-4.784999999999999809e-01,8.857772999999999897e-01,5.119949999999999335e+00
-4.779999999999999805e-01,8.806572000000000289e-01,5.085816999999999588e+00
-4.774999999999999800e-01,8.584701000000000137e-01,5.256481999999999211e+00
-4.769999999999999796e-01,8.652969000000000355e-01,5.222348999999999464e+00
-4.764999999999999791e-01,8.345763000000000487e-01,5.393013999999999086e+00
-4.759999999999999787e-01,8.414030999999999594e-01,5.358880999999999339e+00
-4.754999999999999782e-01,8.226293999999999551e-01,5.529545999999999850e+00
-4.749999999999999778e-01,8.209227000000000052e-01,5.495412999999999215e+00
-4.744999999999999774e-01,8.482298999999999811e-01,5.666077999999999726e+00
-4.739999999999999769e-01,8.414030999999999594e-01,5.666077999999999726e+00
-4.734999999999999765e-01,8.704169999999999963e-01,5.802609999999999602e+00
-4.729999999999999760e-01,8.652969000000000355e-01,5.802609999999999602e+00
-4.724999999999999756e-01,8.857772999999999897e-01,5.939141999999999477e+00
-4.719999999999999751e-01,8.857772999999999897e-01,5.939141999999999477e+00
-4.714999999999999747e-01,8.704169999999999963e-01,6.075673999999999353e+00
-4.709999999999999742e-01,8.840706000000000397e-01,6.075673999999999353e+00
-4.704999999999999738e-01,8.567633999999999528e-01,6.212205999999999229e+00
-4.699999999999999734e-01,8.618835000000000246e-01,6.212205999999999229e+00
-4.695000000000000284e-01,8.311629000000000378e-01,6.348737999999999104e+00
-4.689999999999999725e-01,8.243361000000000161e-01,6.348737999999999104e+00
-4.685000000000000275e-01,8.396964000000000095e-01,6.485269999999998980e+00
-4.679999999999999716e-01,8.311629000000000378e-01,6.485269999999998980e+00
-4.675000000000000266e-01,8.533500000000000529e-01,6.621801999999999744e+00
-4.669999999999999707e-01,8.652969000000000355e-01,6.690067999999999238e+00
-4.665000000000000258e-01,8.414030999999999594e-01,6.587668999999999109e+00
-4.659999999999999698e-01,8.465232000000000312e-01,6.587668999999999109e+00
-4.655000000000000249e-01,8.209227000000000052e-01,6.417003999999999486e+00
-4.649999999999999689e-01,8.226293999999999551e-01,6.417003999999999486e+00
-4.645000000000000240e-01,8.533500000000000529e-01,6.246338999999998975e+00
-4.639999999999999680e-01,8.482298999999999811e-01,6.280471999999999611e+00
-4.635000000000000231e-01,8.755370999999999571e-01,6.109806999999999100e+00
-4.630000000000000226e-01,8.652969000000000355e-01,6.109806999999999100e+00
-4.625000000000000222e-01,8.857772999999999897e-01,5.939141999999999477e+00
-4.620000000000000218e-01,8.840706000000000397e-01,5.973274999999999224e+00
-4.615000000000000213e-01,8.670035999999999854e-01,5.802609999999999602e+00
-4.610000000000000209e-01,8.755370999999999571e-01,5.836742999999999348e+00
-4.605000000000000204e-01,8.465232000000000312e-01,5.666077999999999726e+00
-4.600000000000000200e-01,8.516432999999999920e-01,5.666077999999999726e+00
-4.595000000000000195e-01,8.226293999999999551e-01,5.529545999999999850e+00
-4.590000000000000191e-01,8.226293999999999551e-01,5.529545999999999850e+00
-4.585000000000000187e-01,8.431098000000000203e-01,5.358880999999999339e+00
-4.580000000000000182e-01,8.362829999999999986e-01,5.393013999999999086e+00
-4.575000000000000178e-01,8.635901999999999745e-01,5.222348999999999464e+00
-4.570000000000000173e-01,8.601767999999999637e-01,5.256481999999999211e+00
-4.565000000000000169e-01,8.840706000000000397e-01,5.085816999999999588e+00
-4.560000000000000164e-01,8.738304000000000071e-01,5.119949999999999335e+00
-4.555000000000000160e-01,8.874840000000000506e-01,4.949284999999999712e+00
-4.550000000000000155e-01,8.840706000000000397e-01,4.949284999999999712e+00
-4.545000000000000151e-01,8.550567000000000029e-01,4.812752999999999837e+00
-4.540000000000000147e-01,8.635901999999999745e-01,4.812752999999999837e+00
-4.535000000000000142e-01,8.379897000000000595e-01,4.676220999999999961e+00
-4.530000000000000138e-01,8.465232000000000312e-01,4.676220999999999961e+00
-4.525000000000000133e-01,8.243361000000000161e-01,4.505555999999999450e+00
-4.520000000000000129e-01,8.209227000000000052e-01,4.539688999999999197e+00
-4.515000000000000124e-01,8.482298999999999811e-01,4.369023999999999575e+00
-4.510000000000000120e-01,8.379897000000000595e-01,4.403156999999999321e+00
-4.505000000000000115e-01,8.721237000000000572e-01,4.232491999999999699e+00
-4.500000000000000111e-01,8.584701000000000137e-01,4.266624999999999446e+00
-4.495000000000000107e-01,8.840706000000000397e-01,4.095959999999999823e+00
-4.490000000000000102e-01,8.857772999999999897e-01,4.130092999999999570e+00
-4.485000000000000098e-01,8.670035999999999854e-01,3.959427999999999503e+00
-4.480000000000000093e-01,8.755370999999999571e-01,3.993560999999999694e+00
-4.475000000000000089e-01,8.567633999999999528e-01,3.822895999999999628e+00
-4.470000000000000084e-01,8.635901999999999745e-01,3.857028999999999819e+00
-4.465000000000000080e-01,8.345763000000000487e-01,3.686363999999999752e+00
-4.460000000000000075e-01,8.414030999999999594e-01,3.720496999999999499e+00
-4.455000000000000071e-01,8.209227000000000052e-01,3.549831999999999432e+00
-4.450000000000000067e-01,8.243361000000000161e-01,3.583964999999999623e+00
-4.445000000000000062e-01,8.516432999999999920e-01,3.413299999999999557e+00
-4.440000000000000058e-01,8.516432999999999920e-01,3.447432999999999748e+00
-4.435000000000000053e-01,8.243361000000000161e-01,3.618097999999999814e+00
-4.430000000000000049e-01,8.226293999999999551e-01,3.583964999999999623e+00
-4.425000000000000044e-01,8.499366000000000421e-01,3.754629999999999690e+00
-4.420000000000000040e-01,8.414030999999999594e-01,3.754629999999999690e+00
-4.415000000000000036e-01,8.755370999999999571e-01,3.925294999999999757e+00
-4.410000000000000031e-01,8.652969000000000355e-01,3.891161999999999566e+00
-4.405000000000000027e-01,8.840706000000000397e-01,4.061826999999999188e+00
-4.400000000000000022e-01,8.840706000000000397e-01,4.061826999999999188e+00
-4.395000000000000018e-01,8.687103000000000463e-01,4.198358999999999952e+00
-4.390000000000000013e-01,8.755370999999999571e-01,4.198358999999999952e+00
-4.385000000000000009e-01,8.499366000000000421e-01,4.369023999999999575e+00
-4.380000000000000004e-01,8.584701000000000137e-01,4.334890999999999828e+00
-4.375000000000000000e-01,8.260427999999999660e-01,4.505555999999999450e+00
-4.369999999999999996e-01,8.209227000000000052e-01,4.471422999999999703e+00
-4.364999999999999991e-01,8.379897000000000595e-01,4.642087999999999326e+00
-4.359999999999999987e-01,8.277495000000000269e-01,4.607954999999999579e+00
-4.354999999999999982e-01,8.584701000000000137e-01,4.778619999999999202e+00
-4.349999999999999978e-01,8.516432999999999920e-01,4.778619999999999202e+00
-4.344999999999999973e-01,8.721237000000000572e-01,4.915151999999999077e+00
-4.339999999999999969e-01,8.635901999999999745e-01,4.881018999999999330e+00
-4.334999999999999964e-01,8.857772999999999897e-01,5.051683999999999841e+00
-4.329999999999999960e-01,8.823638999999999788e-01,5.051683999999999841e+00
-4.324999999999999956e-01,8.652969000000000355e-01,5.188215999999999717e+00
-4.319999999999999951e-01,8.738304000000000071e-01,5.188215999999999717e+00
-4.314999999999999947e-01,8.448164999999999702e-01,5.324747999999999593e+00
-4.309999999999999942e-01,8.533500000000000529e-01,5.324747999999999593e+00
-4.304999999999999938e-01,8.294561999999999768e-01,5.461279999999999468e+00
-4.299999999999999933e-01,8.243361000000000161e-01,5.461279999999999468e+00
-4.294999999999999929e-01,8.396964000000000095e-01,5.631944999999999091e+00
-4.289999999999999925e-01,8.345763000000000487e-01,5.597811999999999344e+00
-4.284999999999999920e-01,8.618835000000000246e-01,5.768476999999999855e+00
-4.279999999999999916e-01,8.516432999999999920e-01,5.734343999999999220e+00
-4.274999999999999911e-01,8.806572000000000289e-01,5.905008999999999730e+00
-4.269999999999999907e-01,8.704169999999999963e-01,5.870875999999999095e+00
-4.264999999999999902e-01,8.857772999999999897e-01,6.041540999999999606e+00
-4.259999999999999898e-01,8.806572000000000289e-01,6.007407999999999859e+00
-4.254999999999999893e-01,8.618835000000000246e-01,6.178072999999999482e+00
-4.249999999999999889e-01,8.721237000000000572e-01,6.143939999999999735e+00
-4.244999999999999885e-01,8.396964000000000095e-01,6.314604999999999357e+00
-4.239999999999999880e-01,8.482298999999999811e-01,6.280471999999999611e+00
-4.234999999999999876e-01,8.226293999999999551e-01,6.451136999999999233e+00
-4.229999999999999871e-01,8.226293999999999551e-01,6.417003999999999486e+00
-4.224999999999999867e-01,8.448164999999999702e-01,6.587668999999999109e+00
-4.219999999999999862e-01,8.362829999999999986e-01,6.553535999999999362e+00
-4.214999999999999858e-01,8.601767999999999637e-01,6.690067999999999238e+00
-4.209999999999999853e-01,8.550567000000000029e-01,6.655934999999999491e+00
-4.204999999999999849e-01,8.260427999999999660e-01,6.485269999999998980e+00
-4.199999999999999845e-01,8.243361000000000161e-01,6.485269999999998980e+00
-4.194999999999999840e-01,8.396964000000000095e-01,6.314604999999999357e+00
-4.189999999999999836e-01,8.328695999999999877e-01,6.348737999999999104e+00
-4.184999999999999831e-01,8.670035999999999854e-01,6.143939999999999735e+00
-4.179999999999999827e-01,8.584701000000000137e-01,6.178072999999999482e+00
-4.174999999999999822e-01,8.823638999999999788e-01,6.007407999999999859e+00
-4.169999999999999818e-01,8.857772999999999897e-01,6.041540999999999606e+00
-4.164999999999999813e-01,8.704169999999999963e-01,5.870875999999999095e+00
-4.159999999999999809e-01,8.806572000000000289e-01,5.870875999999999095e+00
-4.154999999999999805e-01,8.567633999999999528e-01,5.734343999999999220e+00
-4.149999999999999800e-01,8.618835000000000246e-01,5.734343999999999220e+00
-4.144999999999999796e-01,8.328695999999999877e-01,5.563678999999999597e+00
-4.139999999999999791e-01,8.414030999999999594e-01,5.597811999999999344e+00
-4.134999999999999787e-01,8.209227000000000052e-01,5.427146999999999721e+00
-4.129999999999999782e-01,8.277495000000000269e-01,5.461279999999999468e+00
-4.124999999999999778e-01,8.550567000000000029e-01,5.290614999999999846e+00
-4.120000000000000329e-01,8.482298999999999811e-01,5.290614999999999846e+00
-4.114999999999999769e-01,8.772438000000000180e-01,5.154082999999999082e+00
-4.110000000000000320e-01,8.823638999999999788e-01,5.188215999999999717e+00
-4.104999999999999760e-01,8.687103000000000463e-01,5.017550999999999206e+00
-4.100000000000000311e-01,8.840706000000000397e-01,5.017550999999999206e+00
-4.094999999999999751e-01,8.652969000000000355e-01,4.846885999999999584e+00
-4.090000000000000302e-01,8.772438000000000180e-01,4.881018999999999330e+00
-4.084999999999999742e-01,8.431098000000000203e-01,4.710353999999999708e+00
-4.080000000000000293e-01,8.516432999999999920e-01,4.744486999999999455e+00
-4.074999999999999734e-01,8.260427999999999660e-01,4.573821999999999832e+00
-4.070000000000000284e-01,8.209227000000000052e-01,4.607954999999999579e+00
-4.064999999999999725e-01,8.379897000000000595e-01,4.437289999999999957e+00
-4.060000000000000275e-01,8.311629000000000378e-01,4.471422999999999703e+00
-4.054999999999999716e-01,8.618835000000000246e-01,4.300757999999999193e+00
-4.050000000000000266e-01,8.550567000000000029e-01,4.334890999999999828e+00
-4.044999999999999707e-01,8.755370999999999571e-01,4.164225999999999317e+00
-4.040000000000000258e-01,8.670035999999999854e-01,4.198358999999999952e+00
-4.034999999999999698e-01,8.857772999999999897e-01,4.027693999999999441e+00
-4.030000000000000249e-01,8.840706000000000397e-01,4.061826999999999188e+00
-4.024999999999999689e-01,8.652969000000000355e-01,3.891161999999999566e+00
-4.020000000000000240e-01,8.721237000000000572e-01,3.925294999999999757e+00
-4.014999999999999680e-01,8.414030999999999594e-01,3.754629999999999690e+00
-4.010000000000000231e-01,8.482298999999999811e-01,3.754629999999999690e+00
-4.004999999999999671e-01,8.277495000000000269e-01,3.618097999999999814e+00
-4.000000000000000222e-01,8.243361000000000161e-01,3.618097999999999814e+00
-3.994999999999999662e-01,8.414030999999999594e-01,3.481565999999999494e+00
-3.990000000000000213e-01,8.516432999999999920e-01,3.413299999999999557e+00
-3.984999999999999654e-01,8.294561999999999768e-01,3.549831999999999432e+00
-3.980000000000000204e-01,8.226293999999999551e-01,3.515698999999999685e+00
-3.974999999999999645e-01,8.379897000000000595e-01,3.720496999999999499e+00
-3.970000000000000195e-01,8.328695999999999877e-01,3.686363999999999752e+00
-3.964999999999999636e-01,8.670035999999999854e-01,3.857028999999999819e+00
-3.960000000000000187e-01,8.550567000000000029e-01,3.822895999999999628e+00
-3.955000000000000182e-01,8.823638999999999788e-01,4.027693999999999441e+00
-3.950000000000000178e-01,8.857772999999999897e-01,3.993560999999999694e+00
-3.945000000000000173e-01,8.704169999999999963e-01,4.164225999999999317e+00
-3.940000000000000169e-01,8.806572000000000289e-01,4.130092999999999570e+00
-3.935000000000000164e-01,8.618835000000000246e-01,4.300757999999999193e+00
