Time(s),Ch1(A),Ch2(V)
-5.000000000000000278e-02,-6.826599999999999335e-01,-1.706699999999999884e-02
-4.989999999999999991e-02,-6.485269999999999646e-01,-1.706699999999999884e-02
-4.980000000000000399e-02,-6.826599999999999335e-01,-3.413399999999999768e-02
-4.970000000000000112e-02,-6.485269999999999646e-01,0.000000000000000000e+00
-4.960000000000000520e-02,-6.826599999999999335e-01,0.000000000000000000e+00
-4.950000000000000233e-02,-6.485269999999999646e-01,-1.706699999999999884e-02
-4.939999999999999947e-02,-6.485269999999999646e-01,-1.706699999999999884e-02
-4.930000000000000354e-02,-6.826599999999999335e-01,0.000000000000000000e+00
-4.920000000000000068e-02,-6.485269999999999646e-01,1.706699999999999884e-02
-4.910000000000000475e-02,-6.143939999999998847e-01,-1.706699999999999884e-02
-4.900000000000000189e-02,-6.485269999999999646e-01,-1.706699999999999884e-02
-4.890000000000000596e-02,-6.143939999999998847e-01,1.706699999999999884e-02
-4.880000000000000310e-02,-6.485269999999999646e-01,1.706699999999999884e-02
-4.870000000000000023e-02,-6.143939999999998847e-01,0.000000000000000000e+00
-4.860000000000000431e-02,-6.485269999999999646e-01,0.000000000000000000e+00
-4.850000000000000144e-02,-5.802609999999999157e-01,3.413399999999999768e-02
-4.840000000000000552e-02,-6.143939999999998847e-01,3.413399999999999768e-02
-4.830000000000000265e-02,-5.802609999999999157e-01,-1.706699999999999884e-02
-4.819999999999999979e-02,-6.143939999999998847e-01,-1.706699999999999884e-02
-4.810000000000000386e-02,-5.802609999999999157e-01,3.413399999999999768e-02
-4.800000000000000100e-02,-6.143939999999998847e-01,1.706699999999999884e-02
-4.790000000000000507e-02,-5.802609999999999157e-01,5.120099999999999651e-02
-4.780000000000000221e-02,-6.143939999999998847e-01,3.413399999999999768e-02
-4.770000000000000628e-02,-5.461279999999999468e-01,5.120099999999999651e-02
-4.760000000000000342e-02,-5.461279999999999468e-01,6.826799999999999535e-02
-4.750000000000000056e-02,-6.143939999999998847e-01,3.413399999999999768e-02
-4.740000000000000463e-02,-6.143939999999998847e-01,5.120099999999999651e-02
-4.730000000000000177e-02,-5.461279999999999468e-01,3.413399999999999768e-02
-4.720000000000000584e-02,-5.461279999999999468e-01,3.413399999999999768e-02
-4.710000000000000298e-02,-5.802609999999999157e-01,6.826799999999999535e-02
-4.700000000000000011e-02,-5.461279999999999468e-01,3.413399999999999768e-02
-4.690000000000000419e-02,-5.802609999999999157e-01,6.826799999999999535e-02
-4.680000000000000132e-02,-5.802609999999999157e-01,6.826799999999999535e-02
-4.670000000000000540e-02,-5.119949999999999779e-01,5.120099999999999651e-02
-4.660000000000000253e-02,-5.119949999999999779e-01,8.533499999999999419e-02
-4.649999999999999967e-02,-5.461279999999999468e-01,5.120099999999999651e-02
-4.640000000000000374e-02,-5.119949999999999779e-01,6.826799999999999535e-02
-4.630000000000000088e-02,-5.461279999999999468e-01,8.533499999999999419e-02
-4.620000000000000495e-02,-5.461279999999999468e-01,6.826799999999999535e-02
-4.610000000000000209e-02,-5.119949999999999779e-01,8.533499999999999419e-02
-4.599999999999999922e-02,-5.461279999999999468e-01,6.826799999999999535e-02
-4.590000000000000330e-02,-5.119949999999999779e-01,1.024019999999999930e-01
-4.580000000000000043e-02,-4.778619999999999535e-01,1.024019999999999930e-01
-4.570000000000000451e-02,-5.461279999999999468e-01,6.826799999999999535e-02
-4.560000000000000164e-02,-5.119949999999999779e-01,8.533499999999999419e-02
