Time(s),Ch1(A),Ch2(V)
-2.500000000000000139e-02,-6.690165999999999613e-01,-4.778690000000000021e-02
-2.494999999999999996e-02,-6.621898999999999980e-01,-4.096020000000000216e-02
-2.490000000000000199e-02,-6.690165999999999613e-01,-5.461359999999999826e-02
-2.485000000000000056e-02,-6.621898999999999980e-01,-4.096020000000000216e-02
-2.480000000000000260e-02,-6.621898999999999980e-01,-4.778690000000000021e-02
-2.475000000000000117e-02,-6.553632000000000346e-01,-2.730679999999999913e-02
-2.469999999999999973e-02,-6.553632000000000346e-01,-2.730679999999999913e-02
-2.465000000000000177e-02,-6.485364999999999602e-01,-6.144029999999999631e-02
-2.460000000000000034e-02,-6.553632000000000346e-01,-6.144029999999999631e-02
-2.455000000000000238e-02,-6.485364999999999602e-01,-3.413349999999999718e-02
-2.450000000000000094e-02,-6.485364999999999602e-01,-3.413349999999999718e-02
-2.445000000000000298e-02,-6.485364999999999602e-01,-2.730679999999999913e-02
-2.440000000000000155e-02,-6.485364999999999602e-01,-2.730679999999999913e-02
-2.435000000000000012e-02,-6.417097999999999969e-01,-1.365339999999999956e-02
-2.430000000000000215e-02,-6.417097999999999969e-01,-2.730679999999999913e-02
-2.425000000000000072e-02,-6.348831000000000335e-01,-4.096020000000000216e-02
-2.420000000000000276e-02,-6.348831000000000335e-01,-3.413349999999999718e-02
-2.415000000000000133e-02,-6.280563999999999591e-01,-1.365339999999999956e-02
-2.409999999999999989e-02,-6.280563999999999591e-01,-2.730679999999999913e-02
-2.405000000000000193e-02,-6.348831000000000335e-01,-6.826699999999999782e-03
-2.400000000000000050e-02,-6.280563999999999591e-01,-1.365339999999999956e-02
-2.395000000000000254e-02,-6.212296999999999958e-01,-2.730679999999999913e-02
-2.390000000000000110e-02,-6.280563999999999591e-01,-2.730679999999999913e-02
-2.385000000000000314e-02,-6.212296999999999958e-01,-1.365339999999999956e-02
-2.380000000000000171e-02,-6.212296999999999958e-01,-1.365339999999999956e-02
-2.375000000000000028e-02,-6.144030000000000324e-01,0.000000000000000000e+00
-2.370000000000000231e-02,-6.144030000000000324e-01,-6.826699999999999782e-03
-2.365000000000000088e-02,-6.144030000000000324e-01,-1.365339999999999956e-02
-2.360000000000000292e-02,-6.144030000000000324e-01,-6.826699999999999782e-03
-2.355000000000000149e-02,-6.075762999999999581e-01,6.826699999999999782e-03
-2.350000000000000006e-02,-6.075762999999999581e-01,0.000000000000000000e+00
-2.345000000000000209e-02,-6.007495999999999947e-01,-1.365339999999999956e-02
-2.340000000000000066e-02,-6.075762999999999581e-01,-1.365339999999999956e-02
-2.335000000000000270e-02,-6.007495999999999947e-01,6.826699999999999782e-03
-2.330000000000000127e-02,-6.007495999999999947e-01,0.000000000000000000e+00
-2.324999999999999983e-02,-6.007495999999999947e-01,1.365339999999999956e-02
-2.320000000000000187e-02,-6.007495999999999947e-01,-6.826699999999999782e-03
-2.315000000000000044e-02,-5.939229000000000314e-01,6.826699999999999782e-03
-2.310000000000000248e-02,-5.939229000000000314e-01,0.000000000000000000e+00
-2.305000000000000104e-02,-5.870961999999999570e-01,1.365339999999999956e-02
-2.299999999999999961e-02,-5.939229000000000314e-01,1.365339999999999956e-02
-2.295000000000000165e-02,-5.870961999999999570e-01,0.000000000000000000e+00
-2.290000000000000022e-02,-5.870961999999999570e-01,0.000000000000000000e+00
-2.285000000000000225e-02,-5.802694999999999936e-01,1.365339999999999956e-02
-2.280000000000000082e-02,-5.802694999999999936e-01,6.826699999999999782e-03
-2.274999999999999939e-02,-5.734428000000000303e-01,1.365339999999999956e-02
-2.270000000000000143e-02,-5.802694999999999936e-01,2.730679999999999913e-02
-2.264999999999999999e-02,-5.734428000000000303e-01,6.826699999999999782e-03
-2.260000000000000203e-02,-5.734428000000000303e-01,1.365339999999999956e-02
-2.255000000000000060e-02,-5.666160999999999559e-01,2.730679999999999913e-02
-2.250000000000000264e-02,-5.666160999999999559e-01,1.365339999999999956e-02
-2.245000000000000120e-02,-5.666160999999999559e-01,2.730679999999999913e-02
-2.239999999999999977e-02,-5.666160999999999559e-01,1.365339999999999956e-02
-2.235000000000000181e-02,-5.597893999999999926e-01,3.413349999999999718e-02
-2.230000000000000038e-02,-5.597893999999999926e-01,3.413349999999999718e-02
-2.225000000000000241e-02,-5.529627000000000292e-01,2.048010000000000108e-02
-2.220000000000000098e-02,-5.597893999999999926e-01,2.048010000000000108e-02
-2.215000000000000302e-02,-5.529627000000000292e-01,1.365339999999999956e-02
-2.210000000000000159e-02,-5.461359999999999548e-01,2.048010000000000108e-02
-2.205000000000000016e-02,-5.529627000000000292e-01,3.413349999999999718e-02
-2.200000000000000219e-02,-5.529627000000000292e-01,2.730679999999999913e-02
-2.195000000000000076e-02,-5.461359999999999548e-01,4.096020000000000216e-02
-2.190000000000000280e-02,-5.461359999999999548e-01,3.413349999999999718e-02
-2.185000000000000137e-02,-5.393092999999999915e-01,4.096020000000000216e-02
-2.179999999999999993e-02,-5.461359999999999548e-01,3.413349999999999718e-02
-2.175000000000000197e-02,-5.324826000000000281e-01,4.778690000000000021e-02
-2.170000000000000054e-02,-5.393092999999999915e-01,5.461359999999999826e-02
-2.165000000000000258e-02,-5.324826000000000281e-01,4.096020000000000216e-02
-2.160000000000000114e-02,-5.324826000000000281e-01,5.461359999999999826e-02
-2.154999999999999971e-02,-5.256558999999999537e-01,2.730679999999999913e-02
-2.150000000000000175e-02,-5.256558999999999537e-01,2.730679999999999913e-02
-2.145000000000000032e-02,-5.256558999999999537e-01,4.778690000000000021e-02
-2.140000000000000235e-02,-5.256558999999999537e-01,4.778690000000000021e-02
-2.135000000000000092e-02,-5.188291999999999904e-01,6.826699999999999435e-02
-2.129999999999999949e-02,-5.188291999999999904e-01,5.461359999999999826e-02
-2.125000000000000153e-02,-5.120025000000000270e-01,6.144029999999999631e-02
-2.120000000000000009e-02,-5.188291999999999904e-01,5.461359999999999826e-02
-2.115000000000000213e-02,-5.120025000000000270e-01,4.778690000000000021e-02
