label,mean,stdev
109cm-1,3.7337066e-05,0.00034651722709004524
109cm-2,3.06535316e-05,0.0003721947274365675
109cm-3,4.33831314e-05,0.000377614872105462
109cm-4,2.55116022e-05,0.00036602242469003295
109cm-5,4.69939323e-05,0.00038011208651491404
139cm-1,3.503392969999999e-05,0.0004132074619386153
139cm-2,2.2353332800000002e-05,0.00041157083515120843
139cm-3,4.38513335e-05,0.0004083246682307099
139cm-4,1.50832017e-05,0.00045270766419551917
139cm-5,3.844046499999999e-05,0.00038984766564342593
170cm-1,3.99520679e-05,0.00048117582195766033
170cm-2,5.38507337e-05,0.00043270422408911034
170cm-3,2.2793598400000002e-05,0.0004284304713810515
170cm-4,3.7488864600000004e-05,0.00046717403773573993
170cm-5,3.98931994e-05,0.00045513492661931074
202cm-1,5.0708066e-05,0.00048443448826979347
202cm-2,1.7992131199999998e-05,0.0005505337659592092
202cm-3,2.63803912e-05,0.0005674472765539772
202cm-4,5.94228657e-05,0.00048429667863837965
202cm-5,4.9028532299999996e-05,0.0005269631852346123

group,avg_stdev
109cm,0.0003684922675674043
139cm,0.00041513165903189574
170cm,0.0004529238963565746
202cm,0.0005227350789311945
