Time(s),Voltage(V)
-5.000000000000000000e+00,-1.877699999999999855e-02
-4.995000000000000107e+00,2.901899999999999966e-02
-4.990000000000000213e+00,-3.413999999999999674e-02
-4.985000000000000320e+00,2.560499999999999929e-02
-4.980000000000000426e+00,2.901899999999999966e-02
-4.974999999999999645e+00,-2.731199999999999947e-02
-4.969999999999999751e+00,-3.413999999999999674e-02
-4.964999999999999858e+00,3.413999999999999674e-02
-4.959999999999999964e+00,2.219099999999999892e-02
-4.955000000000000071e+00,-3.584699999999999692e-02
-4.950000000000000178e+00,-2.731199999999999947e-02
-4.945000000000000284e+00,2.901899999999999966e-02
-4.940000000000000391e+00,-3.584699999999999692e-02
-4.934999999999999609e+00,3.072599999999999984e-02
-4.929999999999999716e+00,3.413999999999999674e-02
-4.924999999999999822e+00,-2.731199999999999947e-02
-4.919999999999999929e+00,-3.243299999999999655e-02
-4.915000000000000036e+00,3.072599999999999984e-02
-4.910000000000000142e+00,2.560499999999999929e-02
-4.905000000000000249e+00,-3.243299999999999655e-02
-4.900000000000000355e+00,-2.731199999999999947e-02
-4.894999999999999574e+00,3.413999999999999674e-02
-4.889999999999999680e+00,-3.243299999999999655e-02
-4.884999999999999787e+00,1.877699999999999855e-02
-4.879999999999999893e+00,3.584699999999999692e-02
-4.875000000000000000e+00,-2.731199999999999947e-02
-4.870000000000000107e+00,-3.072599999999999984e-02
-4.865000000000000213e+00,3.584699999999999692e-02
-4.860000000000000320e+00,2.731199999999999947e-02
-4.855000000000000426e+00,-3.243299999999999655e-02
-4.849999999999999645e+00,-2.389799999999999910e-02
-4.844999999999999751e+00,2.901899999999999966e-02
-4.839999999999999858e+00,-3.243299999999999655e-02
-4.834999999999999964e+00,2.389799999999999910e-02
-4.830000000000000071e+00,3.243299999999999655e-02
-4.825000000000000178e+00,-3.243299999999999655e-02
-4.820000000000000284e+00,-3.243299999999999655e-02
-4.815000000000000391e+00,3.243299999999999655e-02
-4.809999999999999609e+00,2.389799999999999910e-02
-4.804999999999999716e+00,-3.243299999999999655e-02
-4.799999999999999822e+00,-2.389799999999999910e-02
-4.794999999999999929e+00,3.584699999999999692e-02
-4.790000000000000036e+00,-3.584699999999999692e-02
-4.785000000000000142e+00,3.072599999999999984e-02
-4.780000000000000249e+00,3.413999999999999674e-02
-4.775000000000000355e+00,-3.072599999999999984e-02
-4.769999999999999574e+00,-3.243299999999999655e-02
-4.764999999999999680e+00,3.413999999999999674e-02
-4.759999999999999787e+00,2.731199999999999947e-02
-4.754999999999999893e+00,-3.413999999999999674e-02
-4.750000000000000000e+00,-2.731199999999999947e-02
-4.745000000000000107e+00,3.584699999999999692e-02
-4.740000000000000213e+00,-3.413999999999999674e-02
-4.735000000000000320e+00,2.731199999999999947e-02
-4.730000000000000426e+00,3.072599999999999984e-02
-4.724999999999999645e+00,-2.901899999999999966e-02
-4.719999999999999751e+00,-3.243299999999999655e-02
-4.714999999999999858e+00,3.243299999999999655e-02
-4.709999999999999964e+00,2.560499999999999929e-02
-4.705000000000000071e+00,-3.072599999999999984e-02
-4.700000000000000178e+00,-2.731199999999999947e-02
-4.695000000000000284e+00,3.413999999999999674e-02
-4.690000000000000391e+00,-3.243299999999999655e-02
-4.684999999999999609e+00,2.731199999999999947e-02
-4.679999999999999716e+00,3.413999999999999674e-02
-4.674999999999999822e+00,-3.413999999999999674e-02
-4.669999999999999929e+00,-2.901899999999999966e-02
-4.665000000000000036e+00,3.243299999999999655e-02
-4.660000000000000142e+00,2.219099999999999892e-02
-4.655000000000000249e+00,-2.901899999999999966e-02
-4.650000000000000355e+00,-2.389799999999999910e-02
-4.644999999999999574e+00,3.413999999999999674e-02
