Stage position (?m),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
5.99994,177.4,1335.1,0.0338555,10000,1.04E+07,1.67E+06,13351,345708,1774,2,10
6.02008,165.9,1260.2,0.0180463,10000,1.04E+07,1.68E+06,12602,346897,1659,1,8
6.03961,167.6,1231.3,0,10000,1.04E+07,1.68E+06,12313,346156,1676,0,10
6.05976,148.3,1109.4,0.0603791,10000,1.04E+07,1.68E+06,11094,347552,1483,3,14
6.0799,127.8,956.8,0.0702122,10000,1.04E+07,1.68E+06,9568,347015,1278,3,8
6.10004,109.2,852.6,0.0549025,10000,1.04E+07,1.68E+06,8526,346394,1092,2,8
6.12018,91.7,777.2,0,10000,1.04E+07,1.68E+06,7772,347242,917,0,3
6.13971,79.3,706.6,0.112726,10000,1.04E+07,1.68E+06,7066,348313,793,3,5
6.15986,69.1,671.4,0.0432654,10000,1.04E+07,1.68E+06,6714,346971,691,1,7
6.18,69.4,683,0.0855778,10000,1.04E+07,1.68E+06,6830,348869,694,2,6
6.20014,72.1,729,0.247616,10000,1.04E+07,1.68E+06,7290,348499,721,6,7
6.22028,80.4,804.6,0.0371629,10000,1.04E+07,1.68E+06,8046,347274,804,1,7
6.2392,98,917.5,0.0912253,10000,1.04E+07,1.68E+06,9175,348293,980,3,7
6.25996,111.1,1039.5,0.0535368,10000,1.04E+07,1.68E+06,10395,348974,1111,2,12
6.2801,135.8,1183.6,0.0218598,10000,1.04E+07,1.69E+06,11836,349678,1358,1,11
6.30024,154.8,1235,0.0577095,10000,1.04E+07,1.69E+06,12350,348662,1548,3,9
6.31977,165.3,1312.2,0.0359379,10000,1.04E+07,1.69E+06,13122,349177,1653,2,9
6.33992,177.6,1367.8,0.0501603,10000,1.04E+07,1.69E+06,13678,349341,1776,3,11
6.36006,184.3,1377,0.0805629,10000,1.04E+07,1.69E+06,13770,349313,1843,5,17
6.38081,170.6,1319.6,0.069477,10000,1.04E+07,1.69E+06,13196,349866,1706,4,13
6.39973,165.8,1258.2,0.0715207,10000,1.04E+07,1.69E+06,12582,349978,1658,4,8
6.41926,157.1,1145.6,0.0754813,10000,1.04E+07,1.69E+06,11456,349835,1571,4,10
6.44002,138.6,1028.9,0.0428689,10000,1.04E+07,1.69E+06,10289,348990,1386,2,12
6.46016,120.5,914.9,0.0736915,10000,1.04E+07,1.69E+06,9149,350053,1205,3,9
6.4803,100.2,815.3,0.118537,10000,1.04E+07,1.69E+06,8153,349012,1002,4,6
6.49983,85.1,740.6,0.139156,10000,1.04E+07,1.69E+06,7406,349858,851,4,10
6.51936,70.7,682.6,0.16726,10000,1.04E+07,1.69E+06,6826,350306,707,4,6
6.53951,68.1,674.6,0.0434705,10000,1.04E+07,1.69E+06,6746,350283,681,1,3
6.56026,69.7,707.4,0.127454,10000,1.04E+07,1.69E+06,7074,349533,697,3,7
6.57979,80.1,785.1,0.0371067,10000,1.04E+07,1.69E+06,7851,348608,801,1,7
6.59993,93.6,898.9,0.031667,10000,1.04E+07,1.69E+06,8989,349438,936,1,3
6.62008,107.8,1005.9,0.109815,10000,1.04E+07,1.69E+06,10059,349961,1078,4,12
6.63961,125.7,1109,0.117779,10000,1.04E+07,1.69E+06,11090,349865,1257,5,8
6.65975,145.3,1214.4,0.142276,10000,1.04E+07,1.69E+06,12144,350678,1453,7,13
6.67989,159,1303.3,0.0558717,10000,1.04E+07,1.69E+06,13033,349838,1590,3,9
6.70003,164.8,1322.4,0,10000,1.04E+07,1.68E+06,13224,348808,1648,0,7
6.72018,177.1,1354.8,0.0836383,10000,1.03E+07,1.69E+06,13548,349321,1771,5,12
6.73971,175.6,1329.9,0.0337813,10000,1.04E+07,1.69E+06,13299,349022,1756,2,13
6.75985,164.8,1287.5,0.0359627,10000,1.04E+07,1.68E+06,12875,349364,1648,2,10
6.77999,162.8,1185,0.0364314,10000,1.03E+07,1.69E+06,11850,348944,1628,2,6
6.80013,140.8,1048.8,0.0210617,10000,1.03E+07,1.68E+06,10488,348890,1408,1,1
6.81967,120.7,930.9,0.0246036,10000,1.04E+07,1.68E+06,9309,348607,1207,1,4
6.83981,104.3,838.8,0.0851386,10000,1.03E+07,1.68E+06,8388,349508,1043,3,8
6.85995,88.7,754.6,0.0668271,10000,1.03E+07,1.68E+06,7546,348915,887,2,6
6.8807,76.3,705.8,0,10000,1.03E+07,1.68E+06,7058,348379,763,0,3
6.90023,68.9,691.5,0.0860696,10000,1.03E+07,1.68E+06,6915,348826,689,2,4
6.92038,69.5,694.4,0.0426616,10000,1.03E+07,1.68E+06,6944,349025,695,1,8
6.94052,73.4,751.5,0.040479,10000,1.03E+07,1.68E+06,7515,347855,734,1,9
6.96005,91.9,846.9,0.0645726,10000,1.03E+07,1.68E+06,8469,348377,919,2,5
6.98019,102.5,960.9,0.0288666,10000,1.03E+07,1.68E+06,9609,349213,1025,1,5
6.99973,121.6,1089.2,0.0486796,10000,1.03E+07,1.68E+06,10892,349163,1216,2,10
7.01987,140.5,1181.4,0.0634002,10000,1.03E+07,1.68E+06,11814,348092,1405,3,9
7.04001,152.4,1266.4,0.0973489,10000,1.03E+07,1.68E+06,12664,348071,1524,5,13
7.06015,165.3,1316.6,0,10000,1.03E+07,1.68E+06,13166,349154,1653,0,11
7.08029,166.1,1348.3,0.0537239,10000,1.03E+07,1.67E+06,13483,347421,1661,3,11
7.09983,184.2,1346.8,0.0644218,10000,1.03E+07,1.68E+06,13468,348206,1842,4,10
7.11997,171.4,1257.6,0.0693417,10000,1.03E+07,1.68E+06,12576,347858,1714,4,16
7.1395,157.1,1196.8,0,10000,1.03E+07,1.67E+06,11968,347954,1571,0,8
7.16025,141.7,1072.5,0.0628437,10000,1.03E+07,1.68E+06,10725,347701,1417,3,11
7.17978,123,933.1,0.0241744,10000,1.03E+07,1.67E+06,9331,347230,1230,1,8
7.19993,115.3,841.3,0.0515564,10000,1.03E+07,1.67E+06,8413,347266,1153,2,6
7.22068,90.1,746.4,0.0328463,10000,1.03E+07,1.67E+06,7464,348679,901,1,8
7.24021,81.1,711.1,0.109764,10000,1.03E+07,1.67E+06,7111,347829,811,3,6
7.25974,72.9,675.6,0,10000,1.03E+07,1.67E+06,6756,346905,729,0,2
7.27989,70.8,703.9,0.0420549,10000,1.03E+07,1.67E+06,7039,346626,708,1,12
7.30003,70.2,737,0.127275,10000,1.03E+07,1.67E+06,7370,346631,702,3,9
7.32017,86.3,833.7,0.13767,10000,1.03E+07,1.67E+06,8337,347763,863,4,12
7.3397,100.8,961.9,0.0589377,10000,1.03E+07,1.67E+06,9619,347271,1008,2,11
7.35984,117.2,1048.8,0.0253486,10000,1.03E+07,1.67E+06,10488,347234,1172,1,6
7.37999,144.4,1172.6,0.0617254,10000,1.03E+07,1.67E+06,11726,347225,1444,3,10
7.40013,157.8,1282.6,0.0751112,10000,1.03E+07,1.67E+06,12826,347920,1578,4,7
7.42027,168.6,1309.7,0.0528631,10000,1.03E+07,1.67E+06,13097,347043,1686,3,6
7.4398,180.6,1358.5,0.0164368,10000,1.03E+07,1.67E+06,13585,347302,1806,1,14
7.45994,177.6,1322.3,0.0167119,10000,1.03E+07,1.67E+06,13223,347063,1776,1,7
7.48009,166.2,1265.9,0.107041,10000,1.03E+07,1.67E+06,12659,347652,1662,6,15
7.50023,156.1,1169.2,0.0380558,10000,1.03E+07,1.67E+06,11692,346989,1561,2,9
7.51976,142.7,1061.7,0.0415773,10000,1.03E+07,1.67E+06,10617,347488,1427,2,8
