Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
5.50005,90.0000,866.000,0.00000,1000.00,1.03230E+6,155736,866.000,32452.0,90.0000,0.00000,1.00000
5.52019,93.0000,937.000,0.00000,1000.00,1.03230E+6,156010,937.000,32108.0,93.0000,0.00000,0.00000
5.53972,120.000,1093.00,0.00000,1000.00,1.03335E+6,157384,1093.00,32816.0,120.000,0.00000,0.00000
5.55986,128.000,1122.00,0.00000,1000.00,1.03332E+6,156394,1122.00,32483.0,128.000,0.00000,0.00000
5.58061,136.000,1142.00,0.00000,1000.00,1.03144E+6,157020,1142.00,32526.0,136.000,0.00000,0.00000
5.60015,157.000,1272.00,0.204062,1000.00,1.03261E+6,156194,1272.00,32231.0,157.000,1.00000,3.00000
5.62029,168.000,1251.00,0.00000,1000.00,1.03264E+6,158207,1251.00,32921.0,168.000,0.00000,1.00000
5.63982,142.000,1212.00,0.00000,1000.00,1.03184E+6,156639,1212.00,32611.0,142.000,0.00000,1.00000
5.65996,164.000,1216.00,0.00000,1000.00,1.03057E+6,157225,1216.00,32755.0,164.000,0.00000,0.00000
5.68010,149.000,1136.00,0.213219,1000.00,1.03124E+6,157321,1136.00,32460.0,149.000,1.00000,2.00000
5.70025,131.000,996.000,0.00000,1000.00,1.03128E+6,156878,996.000,32583.0,131.000,0.00000,2.00000
5.71978,119.000,962.000,0.00000,1000.00,1.03261E+6,156961,962.000,32551.0,119.000,0.00000,0.00000
5.73992,87.0000,742.000,0.00000,1000.00,1.03275E+6,157578,742.000,32685.0,87.0000,0.00000,0.00000
5.76006,78.0000,731.000,0.00000,1000.00,1.03438E+6,156611,731.000,32533.0,78.0000,0.00000,0.00000
5.78021,74.0000,673.000,0.00000,1000.00,1.03284E+6,157714,673.000,32599.0,74.0000,0.00000,0.00000
5.79974,72.0000,703.000,0.00000,1000.00,1.03514E+6,157867,703.000,32792.0,72.0000,0.00000,0.00000
5.82049,73.0000,670.000,0.00000,1000.00,1.03472E+6,157734,670.000,33062.0,73.0000,0.00000,0.00000
5.84002,76.0000,716.000,0.00000,1000.00,1.03629E+6,157857,716.000,33186.0,76.0000,0.00000,0.00000
5.86016,68.0000,748.000,0.00000,1000.00,1.03434E+6,157056,748.000,32701.0,68.0000,0.00000,1.00000
5.87970,77.0000,795.000,0.00000,1000.00,1.03395E+6,157965,795.000,32590.0,77.0000,0.00000,0.00000
5.89984,85.0000,900.000,0.370305,1000.00,1.03439E+6,158381,900.000,32863.0,85.0000,1.00000,1.00000
5.91998,108.000,1004.00,0.00000,1000.00,1.03454E+6,157887,1004.00,32965.0,108.000,0.00000,0.00000
5.94012,136.000,1076.00,0.00000,1000.00,1.03349E+6,157701,1076.00,32694.0,136.000,0.00000,1.00000
5.96026,159.000,1235.00,0.00000,1000.00,1.03557E+6,158506,1235.00,33218.0,159.000,0.00000,0.00000
5.97980,164.000,1264.00,0.00000,1000.00,1.03503E+6,158169,1264.00,32857.0,164.000,0.00000,0.00000
5.99994,183.000,1325.00,0.171911,1000.00,1.03443E+6,157837,1325.00,32881.0,183.000,1.00000,1.00000
6.02008,155.000,1309.00,0.00000,1000.00,1.03212E+6,158064,1309.00,32751.0,155.000,0.00000,0.00000
6.04022,156.000,1307.00,0.00000,1000.00,1.03626E+6,158433,1307.00,33053.0,156.000,0.00000,1.00000
6.05976,138.000,1127.00,0.00000,1000.00,1.03449E+6,158274,1127.00,32914.0,138.000,0.00000,0.00000
6.07990,153.000,1087.00,0.206886,1000.00,1.03656E+6,158072,1087.00,32747.0,153.000,1.00000,1.00000
6.10004,120.000,1017.00,0.00000,1000.00,1.03433E+6,158644,1017.00,33205.0,120.000,0.00000,0.00000
6.12018,99.0000,891.000,0.00000,1000.00,1.03389E+6,158965,891.000,33156.0,99.0000,0.00000,0.00000
6.13971,103.000,850.000,0.00000,1000.00,1.03610E+6,159350,850.000,33056.0,103.000,0.00000,0.00000
6.15986,85.0000,693.000,0.00000,1000.00,1.03622E+6,160323,693.000,33194.0,85.0000,0.00000,0.00000
6.18000,59.0000,615.000,0.00000,1000.00,1.03630E+6,159369,615.000,33000.0,59.0000,0.00000,1.00000
6.20014,65.0000,629.000,0.00000,1000.00,1.03380E+6,159837,629.000,33305.0,65.0000,0.00000,1.00000
6.22028,69.0000,676.000,0.00000,1000.00,1.03397E+6,159058,676.000,33083.0,69.0000,0.00000,0.00000
6.23981,78.0000,734.000,0.00000,1000.00,1.03626E+6,159327,734.000,32862.0,78.0000,0.00000,0.00000
6.25996,89.0000,853.000,0.353385,1000.00,1.03459E+6,158921,853.000,32895.0,89.0000,1.00000,4.00000
6.28010,82.0000,850.000,0.00000,1000.00,1.03521E+6,159001,850.000,32843.0,82.0000,0.00000,0.00000
6.30024,113.000,1042.00,0.00000,1000.00,1.03502E+6,159750,1042.00,32786.0,113.000,0.00000,2.00000
6.31977,119.000,1102.00,0.00000,1000.00,1.03385E+6,159220,1102.00,33172.0,119.000,0.00000,0.00000
6.33992,155.000,1171.00,0.00000,1000.00,1.03725E+6,159155,1171.00,33087.0,155.000,0.00000,0.00000
6.36006,127.000,1196.00,0.00000,1000.00,1.03560E+6,159390,1196.00,32929.0,127.000,0.00000,1.00000
6.38020,170.000,1215.00,0.00000,1000.00,1.03502E+6,160121,1215.00,33269.0,170.000,0.00000,2.00000
6.39973,165.000,1247.00,0.189692,1000.00,1.03666E+6,160235,1247.00,33121.0,165.000,1.00000,3.00000
6.41987,153.000,1200.00,0.00000,1000.00,1.03627E+6,159563,1200.00,32972.0,153.000,0.00000,1.00000
6.44063,164.000,1163.00,0.00000,1000.00,1.03950E+6,159373,1163.00,32891.0,164.000,0.00000,1.00000
6.46077,156.000,1165.00,0.00000,1000.00,1.03718E+6,159033,1165.00,33059.0,156.000,0.00000,0.00000
6.48030,139.000,1028.00,0.00000,1000.00,1.03380E+6,161444,1028.00,33470.0,139.000,0.00000,1.00000
6.49983,105.000,875.000,0.00000,1000.00,1.03626E+6,160198,875.000,33185.0,105.000,0.00000,2.00000
6.51997,112.000,804.000,0.00000,1000.00,1.03417E+6,159782,804.000,33231.0,112.000,0.00000,0.00000
6.54012,82.0000,729.000,0.761862,1000.00,1.03570E+6,159603,729.000,33157.0,82.0000,2.00000,2.00000
6.56026,79.0000,692.000,0.00000,1000.00,1.03376E+6,160004,692.000,33076.0,79.0000,0.00000,0.00000
6.57979,74.0000,663.000,0.00000,1000.00,1.03665E+6,160761,663.000,33283.0,74.0000,0.00000,0.00000
6.59993,75.0000,662.000,0.00000,1000.00,1.03441E+6,160604,662.000,33201.0,75.0000,0.00000,1.00000
6.62008,61.0000,699.000,0.00000,1000.00,1.03626E+6,160656,699.000,33456.0,61.0000,0.00000,1.00000
6.64022,86.0000,742.000,0.00000,1000.00,1.03695E+6,160556,742.000,33193.0,86.0000,0.00000,0.00000
6.66036,95.0000,833.000,0.325176,1000.00,1.03759E+6,160307,833.000,33588.0,95.0000,1.00000,3.00000
6.67989,94.0000,995.000,0.00000,1000.00,1.03436E+6,160959,995.000,33310.0,94.0000,0.00000,0.00000
6.70003,115.000,1030.00,0.269860,1000.00,1.03781E+6,161368,1030.00,33441.0,115.000,1.00000,1.00000
6.72018,119.000,1159.00,0.00000,1000.00,1.03794E+6,160493,1159.00,33464.0,119.000,0.00000,0.00000
6.73971,160.000,1294.00,0.00000,1000.00,1.03635E+6,160968,1294.00,33159.0,160.000,0.00000,1.00000
6.75924,153.000,1250.00,0.203439,1000.00,1.03635E+6,160927,1250.00,33295.0,153.000,1.00000,1.00000
6.77999,146.000,1272.00,0.00000,1000.00,1.03423E+6,161703,1272.00,33475.0,146.000,0.00000,0.00000
6.80013,183.000,1313.00,0.00000,1000.00,1.03853E+6,160362,1313.00,33497.0,183.000,0.00000,0.00000
6.82028,151.000,1224.00,0.00000,1000.00,1.03638E+6,161156,1224.00,33182.0,151.000,0.00000,0.00000
6.83981,138.000,1106.00,0.448301,1000.00,1.03486E+6,161386,1106.00,33455.0,138.000,2.00000,3.00000
6.85995,135.000,1108.00,0.00000,1000.00,1.03818E+6,160668,1108.00,33236.0,135.000,0.00000,0.00000
6.88009,116.000,954.000,0.00000,1000.00,1.03667E+6,160963,954.000,33332.0,116.000,0.00000,1.00000
6.90023,94.0000,868.000,0.00000,1000.00,1.03651E+6,160840,868.000,33281.0,94.0000,0.00000,0.00000
6.92038,104.000,845.000,0.297516,1000.00,1.03902E+6,161658,845.000,33580.0,104.000,1.00000,1.00000
6.94052,54.0000,678.000,0.00000,1000.00,1.03810E+6,162287,678.000,33672.0,54.0000,0.00000,2.00000
6.96066,68.0000,697.000,0.00000,1000.00,1.04008E+6,162383,697.000,33588.0,68.0000,0.00000,1.00000
6.98019,64.0000,618.000,0.00000,1000.00,1.03753E+6,162289,618.000,33448.0,64.0000,0.00000,0.00000
6.99973,72.0000,721.000,0.426048,1000.00,1.03760E+6,161761,721.000,33825.0,72.0000,1.00000,1.00000
7.01987,70.0000,721.000,0.00000,1000.00,1.03571E+6,161849,721.000,33592.0,70.0000,0.00000,0.00000
7.04001,75.0000,765.000,0.00000,1000.00,1.03782E+6,162542,765.000,33491.0,75.0000,0.00000,1.00000
