Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
5.99994,271.900,2232.50,0.0544879,10000.0,1.02858E+7,1.66360E+6,22325.0,347137,2719.00,5.00000,18.0000
6.01947,265.000,2223.30,0.0335909,10000.0,1.02875E+7,1.66451E+6,22233.0,346708,2650.00,3.00000,20.0000
6.04022,267.700,2214.00,0.0441775,10000.0,1.02853E+7,1.66501E+6,22140.0,347877,2677.00,4.00000,12.0000
6.05976,264.100,2234.70,0.134789,10000.0,1.02784E+7,1.66305E+6,22347.0,346484,2641.00,12.0000,21.0000
6.07990,260.900,2183.80,0.0227027,10000.0,1.02877E+7,1.66266E+6,21838.0,347374,2609.00,2.00000,14.0000
6.10004,262.700,2237.20,0.0787186,10000.0,1.02871E+7,1.66539E+6,22372.0,348221,2627.00,7.00000,13.0000
6.12018,261.300,2249.40,0.0566705,10000.0,1.02777E+7,1.66395E+6,22494.0,347031,2613.00,5.00000,10.0000
6.13971,266.000,2262.90,0.0445176,10000.0,1.02822E+7,1.66411E+6,22629.0,347321,2660.00,4.00000,20.0000
6.15986,264.000,2246.60,0.0447888,10000.0,1.02749E+7,1.66412E+6,22466.0,347588,2640.00,4.00000,25.0000
6.17939,269.600,2258.20,0.0988725,10000.0,1.02726E+7,1.66325E+6,22582.0,346837,2696.00,9.00000,25.0000
6.20014,278.200,2317.30,0.0636665,10000.0,1.02705E+7,1.66577E+6,23173.0,347918,2782.00,6.00000,25.0000
6.21967,273.000,2279.30,0.0431695,10000.0,1.02733E+7,1.67017E+6,22793.0,348682,2730.00,4.00000,12.0000
6.23981,270.900,2244.70,0.0545843,10000.0,1.02766E+7,1.66838E+6,22447.0,347490,2709.00,5.00000,21.0000
6.25996,275.300,2241.90,0.0321115,10000.0,1.02835E+7,1.67221E+6,22419.0,348974,2753.00,3.00000,19.0000
6.28010,261.700,2230.00,0.0564035,10000.0,1.02723E+7,1.67044E+6,22300.0,347960,2617.00,5.00000,24.0000
6.30024,266.100,2258.30,0.0221773,10000.0,1.02757E+7,1.66932E+6,22583.0,348246,2661.00,2.00000,9.00000
6.31977,267.900,2252.30,0.0547768,10000.0,1.02668E+7,1.67294E+6,22523.0,349812,2679.00,5.00000,17.0000
6.33992,270.000,2243.40,0.0109260,10000.0,1.02688E+7,1.67352E+6,22434.0,348093,2700.00,1.00000,13.0000
6.36006,260.400,2219.80,0.0565400,10000.0,1.02803E+7,1.67505E+6,22198.0,349122,2604.00,5.00000,8.00000
6.37959,266.500,2244.90,0.0550830,10000.0,1.02732E+7,1.67441E+6,22449.0,349913,2665.00,5.00000,22.0000
6.39973,271.500,2228.30,0.0650951,10000.0,1.02832E+7,1.67168E+6,22283.0,349109,2715.00,6.00000,13.0000
6.41987,271.100,2221.90,0.0216693,10000.0,1.02797E+7,1.67525E+6,22219.0,349976,2711.00,2.00000,14.0000
6.44002,267.000,2252.20,0.0881605,10000.0,1.02736E+7,1.67389E+6,22522.0,349161,2670.00,8.00000,23.0000
6.46016,270.400,2265.60,0.0326552,10000.0,1.02676E+7,1.67542E+6,22656.0,348844,2704.00,3.00000,16.0000
6.48030,259.700,2276.20,0.0452245,10000.0,1.02689E+7,1.67552E+6,22762.0,349733,2597.00,4.00000,27.0000
6.49983,260.600,2225.40,0.101778,10000.0,1.02661E+7,1.67351E+6,22254.0,348352,2606.00,9.00000,19.0000
6.51997,265.000,2252.40,0.0333462,10000.0,1.02637E+7,1.67183E+6,22524.0,348443,2650.00,3.00000,20.0000
