Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
5.99994,211.800,2006.70,0.0963066,10000.0,1.02913E+7,1.69516E+6,20067.0,353173,2118.00,7.00000,19.0000
6.01947,245.800,2271.30,0.0709695,10000.0,1.02929E+7,1.69622E+6,22713.0,354025,2458.00,6.00000,17.0000
6.04022,278.500,2488.10,0.0521541,10000.0,1.02921E+7,1.69618E+6,24881.0,354291,2785.00,5.00000,18.0000
6.05976,338.400,2752.80,0.0516291,10000.0,1.02880E+7,1.69516E+6,27528.0,353312,3384.00,6.00000,22.0000
6.07990,359.100,2944.30,0.0566084,10000.0,1.02807E+7,1.69588E+6,29443.0,354016,3591.00,7.00000,32.0000
6.10004,383.600,2984.70,0.0528124,10000.0,1.02772E+7,1.69867E+6,29847.0,355107,3836.00,7.00000,22.0000
6.12018,388.600,2958.10,0.0598693,10000.0,1.02732E+7,1.69673E+6,29581.0,353257,3886.00,8.00000,21.0000
6.13971,377.200,2830.40,0.0537700,10000.0,1.02823E+7,1.70032E+6,28304.0,354877,3772.00,7.00000,17.0000
6.15986,357.900,2680.10,0.0648226,10000.0,1.02785E+7,1.69746E+6,26801.0,354430,3579.00,8.00000,19.0000
6.18000,323.700,2425.40,0.0806716,10000.0,1.02821E+7,1.69663E+6,24254.0,354373,3237.00,9.00000,24.0000
6.19953,293.700,2123.80,0.0395071,10000.0,1.02808E+7,1.69864E+6,21238.0,354411,2937.00,4.00000,17.0000
6.22028,237.800,1869.50,0.0244648,10000.0,1.02707E+7,1.69711E+6,18695.0,353083,2378.00,2.00000,23.0000
6.23981,197.900,1658.00,0.0441514,10000.0,1.02777E+7,1.69659E+6,16580.0,352880,1979.00,3.00000,13.0000
6.25935,167.600,1517.00,0.138686,10000.0,1.02861E+7,1.69634E+6,15170.0,354025,1676.00,8.00000,11.0000
6.28010,155.100,1445.20,0.0374188,10000.0,1.02738E+7,1.69741E+6,14452.0,354044,1551.00,2.00000,18.0000
6.30024,141.800,1496.10,0.102395,10000.0,1.02750E+7,1.69876E+6,14961.0,353830,1418.00,5.00000,12.0000
6.31977,156.700,1599.00,0.0370739,10000.0,1.02809E+7,1.69518E+6,15990.0,353935,1567.00,2.00000,21.0000
6.33992,180.300,1833.00,0.0484191,10000.0,1.02871E+7,1.69873E+6,18330.0,353511,1803.00,3.00000,13.0000
